Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-100,59,0,1,0,0,2,2,0,0,20,1,0,0,0.2,0.2,0.5,2,0,11,12,91.7,2,12,1,1,1,29e7e630
Ferrán Torres,7.0,es ESP,FW,25-273,31,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.1,1,0,3,7,42.9,1,4,0,1,0,29e7e630
Raphinha,11.0,br BRA,"LW,AM",28-350,59,0,1,0,0,3,1,0,0,36,0,0,0,0.2,0.2,0.5,5,2,20,27,74.1,1,18,4,1,1,29e7e630
Pedri,8.0,es ESP,DM,23-004,31,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.0,2,0,28,31,90.3,2,19,1,3,3,29e7e630
Lamine Yamal,10.0,es ESP,RW,18-139,90,1,1,0,0,7,1,0,0,80,3,0,3,0.7,0.7,0.5,7,1,43,58,74.1,2,48,5,15,10,29e7e630
Dani Olmo,20.0,es ESP,"AM,DM",27-206,90,2,0,0,0,3,2,0,0,69,5,0,2,1.0,1.0,0.3,6,1,44,53,83.0,7,37,2,1,1,29e7e630
Marc Casado,17.0,es ESP,DM,22-076,90,0,0,0,0,1,0,0,0,91,2,1,2,0.0,0.0,0.0,0,0,68,76,89.5,1,47,0,1,1,29e7e630
Marc Bernal,22.0,es ESP,DM,18-187,45,0,0,0,0,1,0,1,0,32,0,0,1,0.0,0.0,0.0,0,0,27,28,96.4,0,19,0,0,0,29e7e630
Marcus Rashford,14.0,eng ENG,LW,28-029,45,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,1,0,17,24,70.8,2,13,2,4,1,29e7e630
Alejandro Balde,3.0,es ESP,LB,22-042,90,0,0,0,0,0,0,0,0,83,3,1,1,0.0,0.0,0.0,3,1,64,70,91.4,4,41,3,5,2,29e7e630
Gerard Martín,18.0,es ESP,CB,23-332,90,0,0,0,0,0,0,0,0,125,5,1,0,0.0,0.0,0.0,3,1,103,111,92.8,14,76,1,0,0,29e7e630
Pau Cubarsí,5.0,es ESP,CB,18-311,83,0,0,0,0,0,0,0,0,110,1,2,2,0.0,0.0,0.0,1,0,103,105,98.1,5,79,0,0,0,29e7e630
Andreas Christensen,15.0,dk DEN,CB,29-233,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,0,0,29e7e630
Eric García,24.0,es ESP,RB,24-324,45,0,0,0,0,1,0,0,0,42,2,0,1,0.2,0.2,0.0,1,0,36,38,94.7,2,15,1,0,0,29e7e630
Jules Koundé,23.0,fr FRA,RB,27-017,45,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,36,39,92.3,2,23,1,0,0,29e7e630
Joan García,13.0,es ESP,GK,24-209,90,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,36,42,85.7,0,15,0,0,0,29e7e630
16 Players,,,,,990,3,3,0,0,18,6,2,0,857,25,5,13,2.2,2.2,2.0,32,6,644,727,88.6,45,470,21,32,20,29e7e630
