Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-093,63,1,0,0,0,3,1,0,0,25,1,1,0,0.2,0.2,0.0,1,1,10,17,58.8,1,11,1,1,1,4dfa8af6
Pedro Fernandez,27.0,es ESP,FW,17-314,27,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,2,0,7,11,63.6,0,7,0,0,0,4dfa8af6
Ferrán Torres,7.0,es ESP,LW,25-266,90,2,0,0,0,3,2,0,0,33,0,0,1,0.7,0.7,0.1,5,1,18,27,66.7,1,25,3,1,1,4dfa8af6
Lamine Yamal,10.0,es ESP,RW,18-132,90,0,2,0,0,5,2,0,0,77,0,0,1,0.1,0.1,0.7,8,3,50,56,89.3,4,51,7,13,8,4dfa8af6
Dani Olmo,20.0,es ESP,LM,27-199,80,0,0,0,0,4,0,0,0,64,4,1,0,0.3,0.3,0.0,2,0,37,53,69.8,3,35,2,0,0,4dfa8af6
Raphinha,11.0,br BRA,LM,28-343,10,0,0,0,0,1,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,8,0,0,0,4dfa8af6
Eric García,24.0,es ESP,CM,24-317,73,0,0,0,0,0,0,0,0,63,2,1,1,0.0,0.0,0.4,3,0,50,58,86.2,7,28,0,0,0,4dfa8af6
Marc Bernal,22.0,es ESP,CM,18-180,17,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,1,0,12,14,85.7,1,7,0,0,0,4dfa8af6
Fermin López,16.0,es ESP,RM,22-195,63,1,0,0,0,2,2,0,0,51,1,1,1,0.6,0.6,0.0,4,2,34,39,87.2,5,29,0,5,1,4dfa8af6
Marc Casado,17.0,es ESP,RM,22-069,27,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,3,0,30,33,90.9,3,26,0,0,0,4dfa8af6
Alejandro Balde,3.0,es ESP,LB,22-035,45,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,2,0,27,33,81.8,2,23,3,2,1,4dfa8af6
Ronald Araújo,4.0,uy URU,CB,26-260,45,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,43,47,91.5,2,36,1,0,0,4dfa8af6
Gerard Martín,18.0,es ESP,"LB,CB",23-325,90,0,0,0,0,0,0,0,0,112,2,0,1,0.0,0.0,0.0,2,0,91,101,90.1,3,65,2,1,0,4dfa8af6
Pau Cubarsí,5.0,es ESP,CB,18-304,90,0,0,0,0,0,0,0,0,113,0,0,0,0.0,0.0,0.0,1,0,106,107,99.1,4,88,0,0,0,4dfa8af6
Jules Koundé,23.0,fr FRA,RB,27-010,90,0,0,0,0,1,0,0,0,100,3,1,1,0.1,0.1,0.1,2,0,80,88,90.9,7,61,0,0,0,4dfa8af6
Joan García,13.0,es ESP,GK,24-202,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,36,37,97.3,0,23,0,0,0,4dfa8af6
16 Players,,,,,990,4,2,0,0,19,7,0,0,837,15,5,7,2.0,2.0,1.5,36,7,640,731,87.6,43,523,19,23,12,4dfa8af6
