Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,"FW,LW",25-246,87,1,0,0,0,3,3,0,0,26,1,2,0,1.0,1.0,0.2,4,0,10,16,62.5,1,11,0,2,1,3af93275
Pedro Fernandez,27.0,es ESP,LW,17-294,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,3af93275
Marcus Rashford,14.0,eng ENG,LW,28-002,73,1,0,0,0,6,1,0,0,42,0,0,0,0.3,0.3,0.0,6,1,18,26,69.2,2,27,2,6,3,3af93275
Robert Lewandowski,9.0,pl POL,FW,37-073,17,0,0,0,0,1,0,0,0,9,0,0,1,0.1,0.1,0.0,0,0,2,4,50.0,0,3,0,0,0,3af93275
Lamine Yamal,10.0,es ESP,RW,18-112,87,1,0,0,0,4,1,0,0,39,0,0,0,0.4,0.4,0.1,3,0,17,27,63.0,3,25,4,4,2,3af93275
Roony Bardghji,28.0,se SWE,RW,19-352,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,3af93275
Fermin López,16.0,es ESP,AM,22-175,65,0,2,0,0,2,0,0,0,29,2,0,0,0.1,0.1,0.7,4,3,20,24,83.3,1,15,1,1,1,3af93275
Dani Olmo,20.0,es ESP,AM,27-179,25,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,14,85.7,3,12,0,0,0,3af93275
Frenkie de Jong,21.0,nl NED,DM,28-174,90,0,0,0,0,0,0,0,0,60,4,2,1,0.0,0.0,0.4,4,0,45,51,88.2,7,39,4,1,1,3af93275
Marc Casado,17.0,es ESP,DM,22-049,90,0,0,0,0,1,0,0,0,55,0,1,2,0.1,0.1,0.0,1,0,45,50,90.0,3,29,3,1,0,3af93275
Alejandro Balde,3.0,es ESP,LB,22-015,73,0,1,0,0,0,0,0,0,36,2,1,0,0.0,0.0,0.1,2,1,27,32,84.4,2,20,4,0,0,3af93275
Gerard Martín,18.0,es ESP,LB,23-305,17,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,11,13,84.6,1,7,1,0,0,3af93275
Eric García,24.0,es ESP,CB,24-297,90,0,0,0,0,0,0,0,0,60,2,2,1,0.0,0.0,0.0,1,0,41,52,78.8,1,37,0,2,0,3af93275
Ronald Araújo,4.0,uy URU,CB,26-240,90,0,0,0,0,0,0,0,0,50,3,1,0,0.0,0.0,0.0,1,0,43,46,93.5,3,29,0,0,0,3af93275
Jules Koundé,23.0,fr FRA,RB,26-355,90,0,0,0,0,0,0,0,0,55,2,3,0,0.0,0.0,0.1,2,0,35,46,76.1,1,22,2,1,0,3af93275
Wojciech Szczęsny,25.0,pl POL,GK,35-198,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,1,0,39,51,76.5,0,33,0,0,0,3af93275
16 Players,,,,,990,3,3,0,0,17,5,0,0,549,17,12,5,1.9,1.9,1.7,29,5,370,457,81.0,28,313,21,18,8,3af93275
