Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Toni Fernández,29.0,es ESP,FW,17-095,45,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.1,0,0,7,9,77.8,0,6,0,0,0,e1d1e807
Fermin López,16.0,es ESP,LW,22-160,45,0,0,0,0,5,2,0,0,28,1,0,0,0.2,0.2,0.0,6,0,15,21,71.4,2,20,2,2,2,e1d1e807
Marcus Rashford,14.0,eng ENG,"FW,LW",27-352,90,0,0,0,0,8,3,0,0,50,2,0,1,0.5,0.5,0.1,7,0,26,36,72.2,1,22,0,2,0,e1d1e807
Lamine Yamal,10.0,es ESP,RW,18-097,63,0,1,0,0,6,1,0,0,57,2,0,0,0.2,0.2,0.2,4,1,26,40,65.0,1,37,9,9,5,e1d1e807
Roony Bardghji,28.0,se SWE,RW,19-337,27,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.2,3,1,14,17,82.4,4,13,2,2,1,e1d1e807
Frenkie de Jong,21.0,nl NED,AM,28-159,90,0,1,0,0,2,1,0,0,66,2,0,0,0.2,0.2,0.2,6,1,53,61,86.9,9,35,3,0,0,e1d1e807
Pedri,8.0,es ESP,DM,22-327,62,1,0,0,0,2,1,0,0,76,2,0,1,0.2,0.2,0.0,3,1,57,67,85.1,6,58,4,4,3,e1d1e807
Andreas Christensen,15.0,dk DEN,CB,29-191,28,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,0,0,32,34,94.1,2,28,0,0,0,e1d1e807
Marc Casado,17.0,es ESP,DM,22-034,81,0,0,0,0,0,0,0,0,82,1,2,3,0.0,0.0,0.1,3,0,72,76,94.7,1,47,1,0,0,e1d1e807
Ronald Araújo,4.0,uy URU,DM,26-225,9,1,0,0,0,1,1,1,0,6,0,0,0,0.2,0.2,0.0,0,0,4,5,80.0,0,4,2,0,0,e1d1e807
Alejandro Balde,3.0,es ESP,LB,22-000,75,0,0,0,0,1,0,0,0,59,3,0,0,0.0,0.0,0.1,7,0,50,50,100.0,3,38,2,2,1,e1d1e807
Gerard Martín,18.0,es ESP,LB,23-290,15,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,12,66.7,0,8,0,0,0,e1d1e807
Eric García,24.0,es ESP,"CB,DM",24-282,90,0,0,0,0,1,0,0,0,97,3,2,0,0.0,0.0,0.2,4,0,85,89,95.5,12,55,3,0,0,e1d1e807
Pau Cubarsí,5.0,es ESP,CB,18-269,90,0,0,0,0,1,0,0,0,108,1,0,0,0.1,0.1,0.0,3,0,99,101,98.0,11,81,1,1,0,e1d1e807
Jules Koundé,23.0,fr FRA,RB,26-340,90,0,0,0,0,0,0,0,0,76,3,1,1,0.0,0.0,0.1,3,0,62,68,91.2,8,52,0,1,0,e1d1e807
Wojciech Szczęsny,25.0,pl POL,GK,35-183,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,20,24,83.3,0,13,0,0,0,e1d1e807
16 Players,,,,,990,2,2,0,0,27,9,1,0,813,20,5,7,1.6,1.6,1.4,49,4,630,710,88.7,60,517,29,23,12,e1d1e807
