Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Marcus Rashford,14.0,eng ENG,FW,27-355,90,2,0,0,0,4,2,0,0,34,0,0,0,0.3,0.3,0.4,3,1,17,22,77.3,1,16,0,3,0,d1cd53ab
Pedro Fernandez,27.0,es ESP,LW,17-282,58,0,1,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.2,1,1,18,21,85.7,3,7,1,2,0,d1cd53ab
Frenkie de Jong,21.0,nl NED,CM,28-162,32,0,0,0,0,1,0,0,0,27,0,0,0,0.2,0.2,0.1,2,1,21,25,84.0,1,14,1,0,0,d1cd53ab
Lamine Yamal,10.0,es ESP,RW,18-100,74,1,1,1,1,2,0,0,0,50,1,2,1,0.9,0.1,0.4,5,1,28,33,84.8,2,36,7,10,5,d1cd53ab
Roony Bardghji,28.0,se SWE,RW,19-340,16,0,1,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,2,1,9,10,90.0,1,6,0,1,1,d1cd53ab
Fermin López,16.0,es ESP,"AM,LW",22-163,90,3,0,0,0,4,4,0,0,66,1,0,0,0.7,0.7,0.0,4,3,50,59,84.7,11,35,6,4,3,d1cd53ab
Pedri,8.0,es ESP,"DM,LM",22-330,79,0,1,0,0,0,0,0,0,89,1,2,4,0.0,0.0,0.0,4,2,70,75,93.3,10,49,3,0,0,d1cd53ab
Marc Bernal,22.0,es ESP,LM,18-148,11,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,16,18,88.9,1,8,0,0,0,d1cd53ab
Marc Casado,17.0,es ESP,"DM,RM",22-037,90,0,0,0,0,0,0,0,0,82,3,0,1,0.0,0.0,0.0,0,0,66,74,89.2,7,31,1,0,0,d1cd53ab
Alejandro Balde,3.0,es ESP,LB,22-003,74,0,1,0,0,0,0,1,0,62,1,0,0,0.0,0.0,0.2,3,1,53,57,93.0,5,37,3,5,3,d1cd53ab
Gerard Martín,18.0,es ESP,LB,23-293,16,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,20,23,87.0,0,11,0,0,0,d1cd53ab
Eric García,24.0,es ESP,"CB,RB",24-285,90,0,0,0,0,1,0,0,0,91,1,0,0,0.1,0.1,0.0,0,0,73,79,92.4,3,36,0,0,0,d1cd53ab
Pau Cubarsí,5.0,es ESP,CB,18-272,90,0,0,0,0,0,0,0,0,97,2,2,0,0.0,0.0,0.0,0,0,78,85,91.8,3,36,0,0,0,d1cd53ab
Jules Koundé,23.0,fr FRA,RB,26-343,74,0,0,0,0,1,0,0,0,76,0,1,2,0.4,0.4,0.2,2,0,57,61,93.4,5,36,0,1,1,d1cd53ab
Ronald Araújo,4.0,uy URU,"CB,RB",26-228,16,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,14,15,93.3,0,8,0,0,0,d1cd53ab
Wojciech Szczęsny,25.0,pl POL,GK,35-186,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,32,41,78.0,0,24,0,0,0,d1cd53ab
16 Players,,,,,990,6,5,1,1,13,6,1,0,814,11,7,8,2.6,1.8,1.7,27,11,622,698,89.1,53,390,22,26,13,d1cd53ab
