Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-038,90,1,0,0,0,5,1,0,0,33,1,0,0,1.2,1.2,0.0,2,0,18,20,90.0,2,17,0,1,0,65ee8953
Marcus Rashford,14.0,eng ENG,LW,27-332,77,0,1,0,0,6,2,0,0,59,0,0,0,0.3,0.3,0.2,6,1,29,43,67.4,2,36,7,8,3,65ee8953
Ferrán Torres,7.0,es ESP,LW,25-211,13,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.4,2,0,5,6,83.3,1,7,0,0,0,65ee8953
Roony Bardghji,28.0,se SWE,RW,19-317,57,0,0,0,0,2,2,0,0,46,1,0,1,0.1,0.1,0.0,4,0,31,38,81.6,2,32,2,8,5,65ee8953
Lamine Yamal,10.0,es ESP,RW,18-077,33,0,1,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.3,3,1,18,23,78.3,2,26,5,8,3,65ee8953
Pedro Fernandez,27.0,es ESP,AM,17-259,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.1,3,0,23,25,92.0,2,16,0,4,4,65ee8953
Dani Olmo,20.0,es ESP,AM,27-144,45,0,0,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.2,5,1,32,40,80.0,4,29,0,0,0,65ee8953
Pedri,8.0,es ESP,DM,22-307,89,0,0,0,0,2,1,0,0,127,2,0,1,0.4,0.4,0.1,5,1,108,117,92.3,14,76,3,4,4,65ee8953
Marc Casado,17.0,es ESP,DM,22-014,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,65ee8953
Frenkie de Jong,21.0,nl NED,DM,28-139,90,0,0,0,0,0,0,0,0,108,1,0,1,0.0,0.0,0.2,4,0,100,102,98.0,12,79,1,1,0,65ee8953
Gerard Martín,18.0,es ESP,LB,23-270,77,0,0,0,0,1,0,0,0,80,3,1,0,0.0,0.0,0.0,3,0,65,74,87.8,3,56,2,2,1,65ee8953
Eric García,24.0,es ESP,LB,24-262,13,0,0,0,0,1,0,0,0,12,1,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,4,0,0,0,65ee8953
Andreas Christensen,15.0,dk DEN,CB,29-171,90,0,0,0,0,1,0,0,0,108,0,0,2,0.0,0.0,0.0,2,0,96,98,98.0,6,76,3,0,0,65ee8953
Ronald Araújo,4.0,uy URU,CB,26-205,90,0,0,0,0,1,1,0,0,84,0,1,1,0.0,0.0,0.0,1,0,72,75,96.0,2,61,5,0,0,65ee8953
Jules Koundé,23.0,fr FRA,RB,26-320,90,1,0,0,0,1,1,1,0,100,2,0,0,0.2,0.2,0.0,0,0,82,93,88.2,4,68,1,1,0,65ee8953
Wojciech Szczęsny,25.0,pl POL,GK,35-163,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,30,35,85.7,0,25,0,0,0,65ee8953
16 Players,,,,,990,2,2,0,0,22,9,1,0,905,12,2,6,2.2,2.2,1.5,41,4,716,797,89.8,57,608,29,37,20,65ee8953
