Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-197,67,0,1,0,0,5,1,0,0,20,0,0,0,1.5,1.5,0.2,2,1,8,11,72.7,2,12,0,3,0,2ed529d8
Robert Lewandowski,9.0,pl POL,FW,37-024,23,2,0,0,0,2,2,0,0,9,0,0,0,1.2,1.2,0.1,1,0,7,7,100.0,1,7,0,0,0,2ed529d8
Marcus Rashford,14.0,eng ENG,LW,27-318,67,0,1,0,0,2,0,0,0,45,0,1,0,0.1,0.1,0.6,4,1,25,30,83.3,3,28,6,5,0,2ed529d8
Dani Olmo,20.0,es ESP,AM,27-130,23,0,1,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0.6,1,1,10,14,71.4,1,10,0,1,0,2ed529d8
Roony Bardghji,28.0,se SWE,RW,19-303,45,0,0,0,0,2,1,0,0,20,1,0,0,0.0,0.0,0.2,3,0,12,15,80.0,2,14,0,1,0,2ed529d8
Raphinha,11.0,br BRA,RW,28-274,45,2,0,0,0,4,2,0,0,31,0,0,1,0.8,0.8,0.0,2,1,16,19,84.2,1,16,5,2,1,2ed529d8
Fermin López,16.0,es ESP,"AM,LW",22-126,90,2,0,0,0,5,4,0,0,69,2,1,1,0.2,0.2,1.1,6,0,42,52,80.8,5,46,4,5,3,2ed529d8
Marc Casado,17.0,es ESP,DM,22-000,90,0,1,0,0,1,0,0,0,92,0,1,2,0.0,0.0,0.0,4,2,82,87,94.3,6,60,1,0,0,2ed529d8
Pedri,8.0,es ESP,DM,22-293,80,0,0,0,0,1,0,0,0,112,2,1,3,0.0,0.0,0.1,7,1,94,102,92.2,12,85,4,2,2,2ed529d8
Marc Bernal,22.0,es ESP,DM,18-111,10,0,1,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.6,1,1,8,8,100.0,1,5,0,0,0,2ed529d8
Gerard Martín,18.0,es ESP,LB,23-256,73,0,0,0,0,0,0,0,0,77,3,2,0,0.0,0.0,0.2,2,1,55,64,85.9,8,40,1,1,0,2ed529d8
Jofre Torrents,26.0,es ESP,LB,18-229,17,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,15,17,88.2,1,13,0,0,0,2ed529d8
Pau Cubarsí,5.0,es ESP,CB,18-235,90,0,0,0,0,0,0,0,0,103,4,1,0,0.0,0.0,0.0,1,1,83,93,89.2,4,60,0,0,0,2ed529d8
Eric García,24.0,es ESP,CB,24-248,90,0,0,0,0,1,0,0,0,90,2,0,0,0.1,0.1,0.1,5,1,78,83,94.0,6,63,0,1,0,2ed529d8
Jules Koundé,23.0,fr FRA,RB,26-306,90,0,0,0,0,0,0,0,0,83,1,1,0,0.0,0.0,0.0,4,1,74,80,92.5,7,61,1,1,1,2ed529d8
Joan García,13.0,es ESP,GK,24-133,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,36,36,100.0,0,25,0,0,0,2ed529d8
16 Players,,,,,990,6,5,0,0,24,10,0,0,832,17,8,7,4.0,4.0,3.8,44,12,645,718,89.8,60,545,22,22,7,2ed529d8
