Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-249,57,1,0,0,0,2,1,0,0,17,1,0,0,0.8,0.8,0.4,1,0,8,12,66.7,1,4,1,0,0,e98a3106
Robert Lewandowski,9.0,pl POL,FW,37-076,33,0,0,0,0,2,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,1,4,25.0,0,2,0,0,0,e98a3106
Marcus Rashford,14.0,eng ENG,LW,28-005,82,0,0,0,0,5,1,0,0,65,1,0,0,0.2,0.2,0.1,4,0,46,58,79.3,9,23,3,1,0,e98a3106
Roony Bardghji,28.0,se SWE,LW,19-355,8,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,e98a3106
Lamine Yamal,10.0,es ESP,RW,18-115,90,1,0,0,0,5,3,1,0,91,0,1,1,0.8,0.8,0.6,10,1,51,71,71.8,11,65,9,13,5,e98a3106
Fermin López,16.0,es ESP,AM,22-178,90,0,2,0,0,4,1,1,0,50,0,0,0,0.2,0.2,0.8,5,2,34,41,82.9,3,16,1,0,0,e98a3106
Frenkie de Jong,21.0,nl NED,DM,28-177,90,0,0,0,0,0,0,0,0,126,2,1,0,0.0,0.0,0.0,5,0,116,120,96.7,12,81,3,0,0,e98a3106
Marc Casado,17.0,es ESP,DM,22-052,57,0,0,0,0,0,0,0,0,70,2,2,1,0.0,0.0,0.0,0,0,61,63,96.8,3,31,0,0,0,e98a3106
Dani Olmo,20.0,es ESP,DM,27-182,33,0,0,0,0,2,0,0,0,24,0,0,1,0.1,0.1,0.0,3,1,20,21,95.2,3,10,0,2,2,e98a3106
Alejandro Balde,3.0,es ESP,LB,22-018,89,0,0,0,0,0,0,0,0,74,2,0,0,0.0,0.0,0.3,6,0,63,68,92.6,4,49,4,2,0,e98a3106
Gerard Martín,18.0,es ESP,LB,23-308,1,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,1,0,5,6,83.3,0,2,0,0,0,e98a3106
Eric García,24.0,es ESP,CB,24-300,89,0,0,0,0,1,0,0,0,108,1,2,0,0.0,0.0,0.0,2,0,101,103,98.1,14,66,5,0,0,e98a3106
Pau Cubarsí,5.0,es ESP,CB,18-287,1,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,5,0,0,0,e98a3106
Ronald Araújo,4.0,uy URU,CB,26-243,90,0,0,0,0,0,0,0,0,99,1,1,0,0.0,0.0,0.0,1,0,78,87,89.7,2,50,0,0,0,e98a3106
Jules Koundé,23.0,fr FRA,RB,26-358,90,0,0,0,0,1,0,1,0,87,1,1,2,0.1,0.1,0.0,2,0,70,75,93.3,5,50,2,0,0,e98a3106
Wojciech Szczęsny,25.0,pl POL,GK,35-201,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,33,33,100.0,0,16,0,0,0,e98a3106
16 Players,,,,,990,2,2,0,0,23,6,3,0,873,12,8,5,2.4,2.4,2.2,40,4,696,773,90.0,68,472,28,18,7,e98a3106
