Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_TklW,Performance_Int,Performance_OG,Performance_PKwon,Performance_PKcon,match_id
Raphinha,11.0,br BRA,FW,29-028,82,2,0,0,0,5,3,0,0,2,0,1,3,2,0,,,,08d6715c
Marcus Rashford,14.0,eng ENG,"FW,MF",28-072,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,08d6715c
Robert Lewandowski,9.0,pl POL,FW,37-143,65,1,0,0,0,4,1,0,0,0,0,0,0,0,1,,,,08d6715c
Ferrán Torres,7.0,es ESP,"FW,MF",25-316,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,08d6715c
Lamine Yamal,10.0,es ESP,FW,18-182,89,0,0,0,0,2,2,0,0,5,5,0,2,0,0,,,,08d6715c
Ronald Araújo,4.0,uy URU,DF,26-310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,08d6715c
Pedri,8.0,es ESP,CM,23-047,90,0,1,0,0,0,0,1,0,2,2,0,0,1,0,,,,08d6715c
Frenkie de Jong,21.0,nl NED,CM,28-244,89,0,0,0,0,0,0,0,1,3,2,0,0,1,0,,,,08d6715c
Fermin López,16.0,es ESP,CM,22-245,65,0,1,0,0,2,1,0,0,2,1,0,1,0,2,,,,08d6715c
Dani Olmo,20.0,es ESP,"FW,MF",27-249,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,08d6715c
Alejandro Balde,3.0,es ESP,LB,22-085,90,0,0,0,0,0,0,0,0,2,0,0,0,1,0,,,,08d6715c
Eric García,24.0,es ESP,CB,25-002,82,0,0,0,0,1,0,1,0,0,1,0,0,1,1,,,,08d6715c
Gerard Martín,18.0,es ESP,DF,24-010,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,08d6715c
Pau Cubarsí,5.0,es ESP,CB,18-354,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,08d6715c
Jules Koundé,23.0,fr FRA,RB,27-060,90,0,0,0,0,0,0,0,0,1,0,0,3,3,2,,,,08d6715c
Joan García,13.0,es ESP,GK,24-252,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,08d6715c
16 Players,,,,,989,3,2,0,0,16,7,2,1,18,11,1,10,9,6,,,,08d6715c
