Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-239,73,0,0,0,0,2,2,1,0,26,0,0,0,0.1,0.1,0.0,2,0,13,15,86.7,0,12,0,1,0,9c9d1f09
Marc Casado,17.0,es ESP,DM,22-042,17,0,0,0,0,1,0,0,0,31,0,0,0,0.1,0.1,0.0,1,0,26,28,92.9,1,24,0,0,0,9c9d1f09
Marcus Rashford,14.0,eng ENG,"LW,FW",27-360,90,0,1,0,0,2,0,0,0,58,0,0,1,0.1,0.1,0.7,7,1,35,44,79.5,2,36,3,6,2,9c9d1f09
Lamine Yamal,10.0,es ESP,"RW,AM",18-105,90,0,0,0,0,2,0,0,0,73,1,0,0,0.0,0.0,0.1,2,0,46,58,79.3,7,47,4,8,4,9c9d1f09
Fermin López,16.0,es ESP,"AM,LW",22-168,90,1,0,0,0,4,3,1,0,43,0,0,0,0.7,0.7,0.0,1,0,26,33,78.8,3,28,1,1,0,9c9d1f09
Pedri,8.0,es ESP,DM,22-335,89,0,0,0,0,0,0,2,1,96,7,1,4,0.0,0.0,0.1,5,0,69,75,92.0,3,59,4,2,1,9c9d1f09
Frenkie de Jong,21.0,nl NED,"DM,CB,AM",28-167,90,0,0,0,0,0,0,0,0,112,6,3,0,0.0,0.0,0.0,4,0,94,99,94.9,11,80,5,1,0,9c9d1f09
Alejandro Balde,3.0,es ESP,LB,22-008,89,0,0,0,0,0,0,1,0,73,2,0,1,0.0,0.0,0.0,2,1,58,69,84.1,4,41,1,1,0,9c9d1f09
Gerard Martín,18.0,es ESP,LB,23-298,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,9c9d1f09
Eric García,24.0,es ESP,CB,24-290,73,0,0,0,0,1,0,0,0,74,1,2,2,0.0,0.0,0.1,1,0,61,65,93.8,7,55,1,0,0,9c9d1f09
Ronald Araújo,4.0,uy URU,CB,26-233,17,0,0,0,0,1,0,0,0,19,0,0,2,0.0,0.0,0.0,0,0,12,13,92.3,2,12,0,0,0,9c9d1f09
Pau Cubarsí,5.0,es ESP,CB,18-277,82,0,0,0,0,1,0,0,0,68,0,0,2,0.0,0.0,0.0,1,0,60,64,93.8,0,43,0,0,0,9c9d1f09
Roony Bardghji,28.0,se SWE,RW,19-345,8,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,5,0,1,1,9c9d1f09
Jules Koundé,23.0,fr FRA,RB,26-348,90,0,0,0,0,1,0,0,0,79,3,1,1,0.1,0.1,0.0,3,0,62,68,91.2,4,48,3,1,1,9c9d1f09
Wojciech Szczęsny,25.0,pl POL,GK,35-191,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,34,37,91.9,0,22,0,0,0,9c9d1f09
15 Players,,,,,989,1,1,0,0,15,5,5,1,808,20,7,13,1.1,1.1,1.0,29,2,599,675,88.7,44,512,22,22,9,9c9d1f09
