Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-308,63,0,0,0,0,1,0,0,0,16,0,0,2,0.2,0.2,0.0,0,0,6,8,75.0,2,11,1,0,0,905c7a29
Robert Lewandowski,9.0,pl POL,FW,37-135,27,1,0,0,0,1,1,0,0,6,0,0,0,0.2,0.2,0.0,1,0,4,5,80.0,1,3,0,0,0,905c7a29
Marcus Rashford,14.0,eng ENG,LW,28-064,45,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.2,1,0,10,19,52.6,0,14,0,3,0,905c7a29
Fermin López,16.0,es ESP,AM,22-237,45,0,2,0,0,1,0,0,0,25,0,1,0,0.1,0.1,0.5,6,4,13,19,68.4,0,15,5,3,2,905c7a29
Lamine Yamal,10.0,es ESP,RW,18-174,90,0,0,0,0,3,1,0,0,67,1,0,1,0.1,0.1,0.4,6,0,44,55,80.0,9,40,12,10,4,905c7a29
Raphinha,11.0,br BRA,"AM,LW",29-020,63,0,0,0,0,1,0,0,0,36,0,0,2,0.1,0.1,0.0,1,0,22,31,71.0,1,10,1,0,0,905c7a29
Dani Olmo,20.0,es ESP,LW,27-241,27,1,0,0,0,2,2,0,0,17,0,0,0,0.1,0.1,0.1,2,0,13,13,100.0,2,7,0,1,0,905c7a29
Frenkie de Jong,21.0,nl NED,DM,28-236,90,0,0,0,0,1,0,0,0,75,2,0,0,0.1,0.1,0.0,2,0,66,71,93.0,10,37,4,0,0,905c7a29
Eric García,24.0,es ESP,"DM,CB",24-359,90,0,0,0,0,2,1,0,0,62,3,3,2,0.6,0.6,0.0,2,0,40,42,95.2,2,19,2,0,0,905c7a29
Alejandro Balde,3.0,es ESP,LB,22-077,90,0,0,0,0,0,0,0,0,59,3,0,1,0.0,0.0,0.0,1,0,50,56,89.3,3,22,2,2,2,905c7a29
Gerard Martín,18.0,es ESP,CB,24-002,63,0,0,0,0,0,0,0,0,71,0,1,3,0.0,0.0,0.0,0,0,58,66,87.9,3,37,1,0,0,905c7a29
Pedri,8.0,es ESP,DM,23-039,27,0,0,0,0,2,0,0,0,27,2,1,0,0.3,0.3,0.1,4,0,17,21,81.0,3,16,1,1,0,905c7a29
Pau Cubarsí,5.0,es ESP,CB,18-346,90,0,0,0,0,0,0,0,0,89,2,2,0,0.0,0.0,0.0,0,0,78,82,95.1,6,51,0,0,0,905c7a29
Jules Koundé,23.0,fr FRA,RB,27-052,90,0,0,0,0,1,1,0,0,95,4,1,2,0.2,0.2,0.0,1,0,70,76,92.1,3,36,2,4,3,905c7a29
Joan García,13.0,es ESP,GK,24-244,90,0,0,0,0,0,0,0,0,38,1,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,16,0,0,0,905c7a29
15 Players,,,,,990,2,2,0,0,15,6,0,0,710,18,9,13,1.9,1.9,1.2,27,4,521,597,87.3,45,334,31,24,11,905c7a29
