Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,"FW,CM,LW",25-175,90,1,0,0,0,5,3,0,0,29,0,0,0,0.9,0.9,0.1,2,0,15,21,71.4,3,19,1,1,0,28628853
Marcus Rashford,14.0,eng ENG,LW,27-296,45,0,0,0,0,1,1,0,0,39,0,0,1,0.0,0.0,0.1,4,0,31,34,91.2,3,22,3,5,2,28628853
Dani Olmo,20.0,es ESP,"AM,CM",27-108,45,0,0,0,0,2,1,0,0,36,0,1,1,0.1,0.1,0.2,4,0,24,29,82.8,2,25,3,0,0,28628853
Lamine Yamal,10.0,es ESP,RW,18-041,90,0,1,0,0,8,2,0,0,93,1,0,1,0.3,0.3,0.1,9,1,53,66,80.3,7,68,15,20,9,28628853
Raphinha,11.0,br BRA,"LW,AM,LB",28-252,90,0,1,0,0,4,0,0,0,69,2,0,1,0.2,0.2,0.5,8,2,46,59,78.0,1,44,3,2,1,28628853
Pedri,8.0,es ESP,DM,22-271,90,1,0,0,0,2,2,0,0,138,1,1,4,0.1,0.1,0.2,6,0,119,129,92.2,17,106,12,1,0,28628853
Marc Casado,17.0,es ESP,DM,21-343,45,0,0,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.0,1,0,48,52,92.3,8,40,1,0,0,28628853
Gavi,6.0,es ESP,DM,21-018,45,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.0,0,0,44,48,91.7,7,40,0,1,0,28628853
Alejandro Balde,3.0,es ESP,LB,21-309,75,0,0,0,0,1,0,1,0,86,1,0,1,0.1,0.1,0.3,6,0,69,74,93.2,2,58,2,1,0,28628853
Robert Lewandowski,9.0,pl POL,FW,37-002,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,28628853
Pau Cubarsí,5.0,es ESP,"CB,LB",18-213,90,0,0,0,0,1,0,0,0,105,1,0,0,0.0,0.0,0.0,0,0,85,93,91.4,5,63,2,0,0,28628853
Ronald Araújo,4.0,uy URU,CB,26-169,75,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.0,1,0,58,60,96.7,5,43,0,0,0,28628853
Andreas Christensen,15.0,dk DEN,CB,29-135,15,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,21,90.5,2,15,0,0,0,28628853
Eric García,24.0,es ESP,RB,24-226,84,0,0,0,0,1,1,0,0,99,1,2,1,0.1,0.1,0.2,5,0,87,93,93.5,10,63,1,0,0,28628853
Jules Koundé,23.0,fr FRA,RB,26-284,6,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,1,0,11,12,91.7,1,12,2,0,0,28628853
Joan García,13.0,es ESP,GK,24-111,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,21,22,95.5,0,15,0,0,0,28628853
16 Players,,,,,990,2,2,0,0,26,10,1,0,941,11,5,10,1.9,1.9,1.7,47,3,732,816,89.7,73,635,45,31,12,28628853
