Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-168,68,1,0,0,0,3,1,0,0,22,0,1,2,0.5,0.5,0.1,1,0,9,12,75.0,1,7,1,0,0,64fa5074
Marcus Rashford,14.0,eng ENG,"LW,FW",27-289,22,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.1,3,0,10,11,90.9,3,7,2,0,0,64fa5074
Raphinha,11.0,br BRA,LW,28-245,76,1,0,0,0,3,1,1,0,43,0,0,0,0.6,0.6,0.1,3,0,24,33,72.7,3,28,2,4,1,64fa5074
Jules Koundé,23.0,fr FRA,RB,26-277,14,0,0,0,0,0,0,0,0,17,0,1,0,0.0,0.0,0.0,1,0,14,16,87.5,0,14,3,0,0,64fa5074
Lamine Yamal,10.0,es ESP,RW,18-034,90,1,1,0,0,9,3,0,0,66,2,0,0,0.5,0.5,0.8,9,2,33,45,73.3,3,43,4,10,6,64fa5074
Fermin López,16.0,es ESP,AM,22-097,45,0,0,0,0,0,0,0,0,29,2,0,0,0.0,0.0,0.0,0,0,19,25,76.0,2,11,2,2,1,64fa5074
Dani Olmo,20.0,es ESP,"AM,FW",27-101,45,0,0,0,0,5,1,0,0,34,1,0,0,0.4,0.4,0.0,4,1,19,25,76.0,2,13,0,0,0,64fa5074
Pedri,8.0,es ESP,DM,22-264,90,0,0,0,0,2,1,0,0,102,2,1,3,0.1,0.1,0.2,10,0,84,91,92.3,18,66,4,0,0,64fa5074
Frenkie de Jong,21.0,nl NED,DM,28-096,90,0,0,0,0,0,0,0,0,82,1,0,0,0.0,0.0,0.0,4,1,76,80,95.0,10,43,2,0,0,64fa5074
Alejandro Balde,3.0,es ESP,LB,21-302,67,0,0,0,0,0,0,0,0,46,2,0,0,0.0,0.0,0.1,1,0,39,42,92.9,3,25,1,0,0,64fa5074
Jofre Torrents,26.0,es ESP,LB,18-200,23,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,17,21,81.0,0,14,0,1,0,64fa5074
Pau Cubarsí,5.0,es ESP,CB,18-206,68,0,0,0,0,0,0,0,0,58,0,1,0,0.0,0.0,0.0,0,0,48,52,92.3,5,32,1,0,0,64fa5074
Gavi,6.0,es ESP,"AM,CB",21-011,22,0,1,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.2,3,1,19,20,95.0,4,11,1,0,0,64fa5074
Ronald Araújo,4.0,uy URU,CB,26-162,90,0,0,0,0,1,0,0,0,58,0,2,1,0.0,0.0,0.0,1,0,38,47,80.9,4,24,0,0,0,64fa5074
Eric García,24.0,es ESP,"RB,CB",24-219,90,0,0,0,0,1,1,0,0,69,4,0,1,0.0,0.0,0.1,5,0,57,60,95.0,6,26,1,0,0,64fa5074
Joan García,13.0,es ESP,GK,24-104,90,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.0,0,0,19,19,100.0,0,9,0,0,0,64fa5074
16 Players,,,,,990,3,2,0,0,24,8,1,0,703,15,7,7,2.1,2.1,1.8,46,5,525,599,87.6,64,373,24,17,8,64fa5074
