Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-028,69,0,0,0,0,3,1,0,0,20,0,0,1,0.3,0.3,0.0,2,0,7,9,77.8,1,9,1,0,0,53708b73
Andreas Christensen,15.0,dk DEN,CB,29-161,21,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,10,10,100.0,0,8,0,0,0,53708b73
Marcus Rashford,14.0,eng ENG,LW,27-322,81,2,0,0,0,6,2,0,0,60,1,0,2,0.3,0.3,0.1,4,0,28,40,70.0,2,28,5,5,1,53708b73
Dani Olmo,20.0,es ESP,"AM,LW",27-134,9,0,0,0,0,1,1,0,0,15,0,1,0,0.1,0.1,0.0,1,0,11,11,100.0,1,8,0,1,1,53708b73
Raphinha,11.0,br BRA,RW,28-278,90,0,0,0,0,4,1,0,0,57,2,1,0,0.2,0.2,0.4,7,0,34,45,75.6,4,35,8,3,2,53708b73
Fermin López,16.0,es ESP,"AM,LW",22-130,89,0,0,0,0,3,0,1,0,47,3,1,3,0.2,0.2,0.1,5,0,26,34,76.5,3,20,1,1,0,53708b73
Marc Casado,17.0,es ESP,DM,22-004,1,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,53708b73
Pedri,8.0,es ESP,"DM,AM",22-297,90,0,0,0,0,0,0,0,0,105,4,2,0,0.0,0.0,0.1,3,0,85,94,90.4,7,67,3,3,2,53708b73
Frenkie de Jong,21.0,nl NED,DM,28-129,90,0,0,0,0,0,0,1,0,96,3,2,1,0.0,0.0,0.1,6,1,86,88,97.7,9,59,2,1,1,53708b73
Gerard Martín,18.0,es ESP,LB,23-260,80,0,0,0,0,0,0,1,0,44,0,3,2,0.0,0.0,0.0,2,0,28,37,75.7,3,21,0,1,1,53708b73
Eric García,24.0,es ESP,LB,24-252,10,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,3,8,0,0,0,53708b73
Pau Cubarsí,5.0,es ESP,CB,18-239,68,0,0,0,0,0,0,0,0,49,1,2,0,0.0,0.0,0.0,0,0,40,45,88.9,1,30,0,0,0,53708b73
Ferrán Torres,7.0,es ESP,FW,25-201,22,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,6,0,0,0,53708b73
Ronald Araújo,4.0,uy URU,CB,26-195,90,0,0,0,0,0,0,0,0,58,1,0,2,0.0,0.0,0.0,1,1,36,42,85.7,3,26,0,0,0,53708b73
Jules Koundé,23.0,fr FRA,RB,26-310,90,0,1,0,0,1,0,0,0,76,3,1,4,0.0,0.0,0.0,2,1,49,59,83.1,4,36,1,1,1,53708b73
Joan García,13.0,es ESP,GK,24-137,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,1,0,30,38,78.9,0,27,0,0,0,53708b73
16 Players,,,,,990,2,1,0,0,19,5,4,0,708,18,13,15,1.1,1.1,0.8,34,3,490,578,84.8,41,392,21,16,9,53708b73
