Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,"FW,RW",25-208,90,0,0,0,0,6,2,0,0,38,0,0,1,0.4,0.4,0.0,3,1,22,26,84.6,0,19,0,1,0,fa8efe81
Marcus Rashford,14.0,eng ENG,LW,27-329,89,0,1,0,0,4,2,0,0,77,0,0,0,0.2,0.2,0.1,8,1,55,67,82.1,3,40,5,5,2,fa8efe81
Andreas Christensen,15.0,dk DEN,CM,29-168,1,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,2,0,0,0,fa8efe81
Raphinha,11.0,br BRA,RW,28-285,64,0,0,0,0,3,1,0,0,66,0,0,0,0.4,0.4,0.4,6,0,50,60,83.3,8,35,4,2,0,fa8efe81
Robert Lewandowski,9.0,pl POL,"RW,FW",37-035,26,1,0,0,0,2,2,0,0,15,0,0,0,0.1,0.1,0.0,0,0,6,9,66.7,1,9,0,0,0,fa8efe81
Dani Olmo,20.0,es ESP,"AM,LW",27-141,90,0,0,0,0,2,0,0,0,82,3,2,0,0.1,0.1,0.0,2,0,58,66,87.9,7,39,1,6,1,fa8efe81
Pedri,8.0,es ESP,DM,22-304,89,0,0,0,0,0,0,0,0,125,1,1,2,0.0,0.0,0.3,9,0,108,114,94.7,19,85,4,2,2,fa8efe81
Marc Bernal,22.0,es ESP,LM,18-122,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,0,fa8efe81
Marc Casado,17.0,es ESP,DM,22-011,45,0,0,0,0,2,0,0,0,51,3,0,2,0.1,0.1,0.0,3,0,34,39,87.2,2,31,1,2,1,fa8efe81
Frenkie de Jong,21.0,nl NED,"DM,RM",28-136,45,0,1,0,0,0,0,0,0,70,2,0,0,0.0,0.0,0.1,2,1,65,67,97.0,8,45,2,0,0,fa8efe81
Gerard Martín,18.0,es ESP,LB,23-267,72,0,0,0,0,0,0,0,0,74,3,0,2,0.0,0.0,0.0,0,0,55,62,88.7,7,26,2,0,0,fa8efe81
Jules Koundé,23.0,fr FRA,"LB,RB",26-317,18,0,0,0,0,0,0,0,0,25,0,1,1,0.0,0.0,0.0,2,0,19,21,90.5,2,13,1,0,0,fa8efe81
Pau Cubarsí,5.0,es ESP,CB,18-246,90,0,0,0,0,0,0,0,0,106,3,1,0,0.0,0.0,0.0,0,0,94,97,96.9,10,57,1,0,0,fa8efe81
Ronald Araújo,4.0,uy URU,CB,26-202,90,1,0,0,0,2,2,0,0,83,2,0,1,0.1,0.1,0.0,0,0,69,75,92.0,5,49,1,1,0,fa8efe81
Eric García,24.0,es ESP,"RB,LB",24-259,90,1,0,0,0,1,1,0,0,99,1,1,3,0.8,0.8,0.1,4,1,80,91,87.9,15,30,1,1,1,fa8efe81
Joan García,13.0,es ESP,GK,24-144,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,24,28,85.7,0,16,0,1,1,fa8efe81
16 Players,,,,,990,3,2,0,0,22,10,0,0,954,18,6,12,2.2,2.2,1.1,39,4,749,834,89.8,88,497,23,21,8,fa8efe81
