Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Ferrán Torres,7.0,es ESP,FW,25-280,90,3,0,0,0,5,5,0,0,32,0,0,0,1.0,1.0,0.0,2,0,19,24,79.2,1,13,0,1,1,2e731a54
Marcus Rashford,14.0,eng ENG,LW,28-036,90,0,0,0,0,5,1,0,0,40,1,0,2,0.5,0.5,0.0,3,1,18,28,64.3,0,26,4,5,1,2e731a54
Roony Bardghji,28.0,se SWE,RW,20-021,67,1,1,0,0,3,1,0,0,53,0,0,0,0.4,0.4,0.4,4,3,28,41,68.3,3,36,6,3,2,2e731a54
Fermin López,16.0,es ESP,AM,22-209,23,0,0,0,0,2,0,0,0,19,1,0,1,0.1,0.1,0.0,1,0,12,13,92.3,1,12,1,1,0,2e731a54
Lamine Yamal,10.0,es ESP,"AM,RW",18-146,90,1,0,1,1,0,0,0,0,64,3,0,1,0.8,0.0,0.4,7,0,44,48,91.7,8,49,4,10,3,2e731a54
Pedri,8.0,es ESP,DM,23-011,62,0,2,0,0,0,0,0,0,51,0,1,2,0.0,0.0,0.1,6,3,40,44,90.9,6,30,0,1,1,2e731a54
Marc Bernal,22.0,es ESP,DM,18-194,28,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,25,28,89.3,1,21,1,2,1,2e731a54
Eric García,24.0,es ESP,"DM,LB",24-331,80,0,0,0,0,0,0,0,0,52,5,0,3,0.0,0.0,0.0,0,0,37,40,92.5,4,26,1,0,0,2e731a54
Jofre Torrents,26.0,es ESP,LB,18-312,10,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0,2e731a54
Alejandro Balde,3.0,es ESP,LB,22-049,45,0,0,0,0,0,0,0,0,24,2,0,2,0.0,0.0,0.0,0,0,18,19,94.7,2,12,1,0,0,2e731a54
Andreas Christensen,15.0,dk DEN,CB,29-240,45,0,0,0,0,0,0,0,0,30,1,0,1,0.0,0.0,0.0,0,0,21,23,91.3,0,15,0,0,0,2e731a54
Gerard Martín,18.0,es ESP,"CB,LB",23-339,62,0,0,0,0,0,0,1,0,61,0,0,2,0.0,0.0,0.1,2,1,47,52,90.4,7,41,0,0,0,2e731a54
Frenkie de Jong,21.0,nl NED,"DM,LB",28-208,28,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.3,2,0,16,18,88.9,1,8,0,0,0,2e731a54
Pau Cubarsí,5.0,es ESP,CB,18-318,90,0,0,0,0,0,0,0,0,96,1,1,1,0.0,0.0,0.0,1,0,86,87,98.9,2,67,0,0,0,2e731a54
Jules Koundé,23.0,fr FRA,RB,27-024,90,0,1,0,0,0,0,1,0,90,1,0,4,0.0,0.0,0.5,2,1,67,75,89.3,1,55,0,1,0,2e731a54
Joan García,13.0,es ESP,GK,24-216,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,0,0,47,58,81.0,0,48,0,0,0,2e731a54
16 Players,,,,,990,5,4,1,1,15,7,2,0,737,17,2,19,2.8,2.0,1.8,30,9,530,604,87.7,37,465,18,24,9,2e731a54
