Player,#,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA_SCA,SCA_GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_PrgP,Carries_Carries,Carries_PrgC,Take-Ons_Att,Take-Ons_Succ,match_id
Robert Lewandowski,9.0,pl POL,FW,37-045,90,0,0,0,1,3,0,0,0,23,0,0,0,0.9,0.1,0.1,1,0,6,10,60.0,0,19,1,2,1,bc939aab
Ferrán Torres,7.0,es ESP,LW,25-218,68,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,2,1,9,12,75.0,3,14,0,0,0,bc939aab
Roony Bardghji,28.0,se SWE,"LW,RW",19-324,22,0,0,0,0,4,3,0,0,19,0,0,0,0.5,0.5,0.1,3,0,9,12,75.0,0,11,1,4,3,bc939aab
Marcus Rashford,14.0,eng ENG,"RW,LW",27-339,90,1,0,0,0,3,2,1,0,41,1,0,0,0.6,0.6,0.1,6,0,22,32,68.8,4,20,2,3,0,bc939aab
Dani Olmo,20.0,es ESP,AM,27-151,90,0,0,0,0,1,0,0,0,39,1,0,1,0.0,0.0,0.1,2,0,28,32,87.5,3,15,1,0,0,bc939aab
Pedri,8.0,es ESP,DM,22-314,90,0,1,0,0,2,1,0,0,63,0,1,0,0.1,0.1,0.3,6,1,44,53,83.0,6,37,3,1,1,bc939aab
Frenkie de Jong,21.0,nl NED,DM,28-146,87,0,0,0,0,0,0,1,0,43,1,2,0,0.0,0.0,0.0,0,0,32,37,86.5,3,25,2,0,0,bc939aab
Andreas Christensen,15.0,dk DEN,CB,29-178,3,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,4,0,0,0,bc939aab
Gerard Martín,18.0,es ESP,LB,23-277,45,0,0,0,0,0,0,1,0,31,0,0,2,0.0,0.0,0.0,0,0,25,30,83.3,4,15,0,2,2,bc939aab
Alejandro Balde,3.0,es ESP,LB,21-352,45,0,0,0,0,0,0,0,0,22,1,0,3,0.0,0.0,0.0,1,0,14,16,87.5,0,10,1,2,0,bc939aab
Pau Cubarsí,5.0,es ESP,CB,18-256,90,0,0,0,0,1,0,0,0,87,6,0,1,0.1,0.1,0.3,4,0,65,72,90.3,9,53,7,1,1,bc939aab
Ronald Araújo,4.0,uy URU,CB,26-212,45,0,0,0,0,0,0,1,0,36,2,0,1,0.0,0.0,0.0,1,0,26,29,89.7,3,18,2,0,0,bc939aab
Eric García,24.0,es ESP,"CB,DM",24-269,45,0,0,0,0,1,1,0,0,45,3,1,0,0.0,0.0,0.1,3,0,31,39,79.5,4,21,3,1,0,bc939aab
Jules Koundé,23.0,fr FRA,RB,26-327,90,0,0,0,0,1,1,0,0,55,3,0,1,0.1,0.1,0.0,2,0,41,45,91.1,1,21,2,1,1,bc939aab
Wojciech Szczęsny,25.0,pl POL,GK,35-170,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,21,0,0,0,bc939aab
15 Players,,,,,990,1,1,0,1,16,8,5,0,569,19,4,9,2.2,1.5,1.2,31,2,388,463,83.8,42,304,25,17,9,bc939aab
