Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Pedri,es ESP,MF,21.0,32.0,3,0,0,10,51,2,58,26,34,0,0,0,254,7,6,53.8,Matches
Raphinha,br BRA,"FW,MF",27.0,31.5,4,0,0,11,37,10,215,11,22,2,0,0,94,9,6,60.0,Matches
Robert Lewandowski,pl POL,FW,35.0,29.6,1,0,0,30,39,17,5,3,5,0,0,0,45,37,39,48.7,Matches
Lamine Yamal,es ESP,FW,17.0,31.7,3,0,0,30,60,13,108,16,28,2,0,0,123,1,3,25.0,Matches
Pau Cubarsí,es ESP,DF,17.0,29.1,3,0,0,24,9,0,2,16,23,0,1,0,102,62,44,58.5,Matches
Jules Koundé,fr FRA,DF,25.0,28.9,4,0,0,22,19,7,63,20,43,0,0,0,107,30,23,56.6,Matches
Iñigo Martínez,es ESP,DF,33.0,27.7,5,0,0,18,28,0,8,18,14,1,0,0,126,58,33,63.7,Matches
Alejandro Balde,es ESP,DF,20.0,25.4,2,0,0,16,37,0,67,5,10,0,0,0,122,16,9,64.0,Matches
Marc Casado,es ESP,MF,20.0,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8,Matches
Iñaki Peña,es ESP,GK,25.0,15.5,1,0,0,0,0,0,0,0,0,0,0,0,65,1,0,100.0,Matches
Wojciech Szczęsny,pl POL,GK,34.0,15.0,0,0,0,1,1,0,0,0,1,0,1,0,52,0,0,,Matches
Eric García,es ESP,"DF,MF",23.0,17.4,4,0,0,20,8,0,7,14,21,0,0,0,54,27,25,51.9,Matches
Gavi,es ESP,"MF,FW",19.0,12.1,4,0,0,38,26,1,9,10,21,0,0,0,61,21,26,44.7,Matches
Dani Olmo,es ESP,"MF,FW",26.0,13.5,1,0,0,21,27,1,21,3,11,3,0,0,46,9,9,50.0,Matches
Fermin López,es ESP,"MF,FW",21.0,13.9,4,1,0,27,21,5,47,5,15,0,0,0,66,9,18,33.3,Matches
Ferrán Torres,es ESP,"FW,MF",24.0,12.3,1,1,0,5,16,6,17,4,4,0,0,0,27,5,9,35.7,Matches
Gerard Martín,es ESP,DF,22.0,11.5,2,0,0,14,9,0,36,13,10,0,0,0,42,14,6,70.0,Matches
Ronald Araújo,uy URU,DF,25.0,8.4,3,0,0,9,4,0,0,9,9,0,0,0,27,33,20,62.3,Matches
Frenkie de Jong,nl NED,MF,27.0,12.7,3,0,0,14,18,0,6,12,11,0,1,0,57,10,7,58.8,Matches
Marc-André ter Stegen,de GER,GK,32.0,7.5,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,100.0,Matches
Héctor Fort,es ESP,DF,17.0,6.5,2,0,0,8,1,0,12,6,8,0,0,0,32,3,7,30.0,Matches
Pablo Torre,es ESP,"MF,FW",21.0,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3,Matches
Marc Bernal,es ESP,MF,17.0,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,Matches
Ansu Fati,es ESP,FW,21.0,2.6,1,0,0,2,2,2,0,1,1,0,0,0,7,2,7,22.2,Matches
Pau Victor,es ESP,FW,22.0,3.5,2,0,0,7,3,0,3,2,1,0,0,0,14,3,1,75.0,Matches
Andreas Christensen,dk DEN,DF,28.0,2.8,3,0,0,5,0,0,0,4,4,0,0,0,14,11,3,78.6,Matches
Sergi Dominguez,es ESP,DF,19.0,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,Matches
Daniel Rodriguez,es ESP,FW,18.0,0.4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,24.7,38.0,63,3,1,368,465,65,709,227,332,8,4,0,1673,380,339,52.9,
Opponent Total,,,26.8,38.0,89,2,0,479,351,181,482,381,405,4,8,3,1499,339,380,47.1,
