Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Alavés,23,15.0,292,19.47,212,29,17,14,14,6,17,1.13,9,0,1,3,3,1
Athletic Club,25,16.0,348,21.75,255,32,16,20,15,10,25,1.56,13,1,4,2,3,2
Atlético Madrid,23,16.0,377,23.56,291,25,25,18,13,5,43,2.69,27,1,4,7,4,0
Barcelona,25,16.0,580,36.25,451,31,36,36,17,9,84,5.25,66,5,6,5,1,1
Betis,26,15.0,396,26.4,309,25,27,16,11,8,42,2.8,30,2,3,5,2,0
Celta Vigo,25,15.0,296,19.73,241,21,9,10,8,7,33,2.2,23,2,1,4,2,1
Elche,27,15.0,291,19.4,226,18,19,18,7,3,29,1.93,22,2,3,1,1,0
Espanyol,22,15.0,347,23.13,246,42,12,23,23,1,35,2.33,25,4,0,2,4,0
Getafe,24,15.0,233,15.53,134,38,13,23,18,7,23,1.53,11,3,3,4,2,0
Girona,29,15.0,247,16.47,176,21,18,13,15,4,23,1.53,16,1,2,1,3,0
Levante,25,15.0,256,17.07,184,24,15,22,9,2,24,1.6,12,1,3,6,1,1
Mallorca,25,15.0,282,18.8,211,27,17,11,13,3,28,1.87,21,2,1,1,3,0
Osasuna,21,15.0,273,18.2,196,31,16,14,13,3,26,1.73,19,5,0,0,2,0
Oviedo,27,15.0,233,15.53,167,21,17,14,7,7,9,0.6,3,2,1,2,0,1
Rayo Vallecano,24,15.0,326,21.73,241,36,12,19,10,8,23,1.53,15,3,2,1,1,1
Real Madrid,23,16.0,570,35.62,430,35,40,33,23,9,59,3.69,42,0,8,3,4,2
Real Sociedad,27,15.0,358,23.87,258,41,18,19,16,6,31,2.07,23,0,3,3,2,0
Sevilla,31,15.0,283,18.87,203,35,17,14,12,2,30,2.0,21,3,3,0,3,0
Valencia,21,15.0,273,18.2,202,17,14,24,11,5,23,1.53,18,3,1,1,0,0
Villarreal,26,15.0,353,23.53,265,31,22,18,15,2,46,3.07,34,1,4,6,1,0
