Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
vs Alavés,23,27.7,50.8,15,165,1350,15.0,15,10,25,14,1,1,33,1,15.0,14.2,10.3,24.5,213,519,1.0,0.67,1.67,0.93,1.6,1.0,0.69,1.69,0.95,1.63
vs Athletic Club,25,27.4,51.9,16,176,1440,16.0,19,14,33,19,0,0,34,1,16.2,16.2,12.3,28.6,223,448,1.19,0.87,2.06,1.19,2.06,1.02,0.77,1.79,1.02,1.79
vs Atlético Madrid,23,27.8,45.8,16,176,1440,16.0,15,12,27,14,1,2,38,0,18.4,16.8,13.8,30.6,241,581,0.94,0.75,1.69,0.87,1.62,1.15,0.86,2.01,1.05,1.91
vs Barcelona,25,28.0,33.9,16,176,1440,16.0,20,15,35,17,3,4,45,4,21.3,18.4,16.8,35.1,176,396,1.25,0.94,2.19,1.06,2.0,1.33,1.05,2.38,1.15,2.2
vs Betis,26,27.1,49.6,15,165,1350,15.0,18,14,32,17,1,2,38,2,16.9,15.4,13.0,28.4,294,595,1.2,0.93,2.13,1.13,2.07,1.13,0.87,1.99,1.02,1.89
vs Celta Vigo,25,27.8,49.0,15,165,1350,15.0,18,12,30,16,2,5,42,5,20.4,16.5,13.3,29.9,253,518,1.2,0.8,2.0,1.07,1.87,1.36,0.89,2.25,1.1,1.99
vs Elche,27,27.6,41.4,15,165,1350,15.0,17,15,32,15,2,2,33,0,20.5,19.1,15.7,34.8,238,465,1.13,1.0,2.13,1.0,2.0,1.36,1.05,2.41,1.27,2.32
vs Espanyol,22,27.6,58.5,15,165,1350,15.0,15,10,25,14,1,1,41,2,17.3,16.5,12.5,29.0,293,630,1.0,0.67,1.67,0.93,1.6,1.15,0.83,1.98,1.1,1.93
vs Getafe,24,27.4,59.3,15,165,1350,15.0,15,12,27,14,1,1,31,2,14.1,13.4,10.8,24.2,230,520,1.0,0.8,1.8,0.93,1.73,0.94,0.72,1.66,0.89,1.61
vs Girona,29,27.3,53.1,15,165,1350,15.0,29,18,47,25,4,4,20,1,27.9,24.8,18.5,43.4,288,656,1.93,1.2,3.13,1.67,2.87,1.86,1.23,3.09,1.66,2.89
vs Levante,25,27.3,58.2,15,165,1350,15.0,26,22,48,25,1,1,33,2,25.9,25.1,20.4,45.5,319,712,1.73,1.47,3.2,1.67,3.13,1.73,1.36,3.09,1.68,3.04
vs Mallorca,25,27.4,55.1,15,165,1350,15.0,22,16,38,20,2,3,31,4,25.4,23.1,18.0,41.1,280,669,1.47,1.07,2.53,1.33,2.4,1.69,1.2,2.89,1.54,2.74
vs Osasuna,21,27.5,53.7,15,165,1350,15.0,18,12,30,15,3,3,34,1,19.4,17.3,14.9,32.2,262,595,1.2,0.8,2.0,1.0,1.8,1.3,0.99,2.29,1.15,2.15
vs Oviedo,27,27.6,55.2,15,165,1350,15.0,22,14,36,20,2,4,20,1,26.1,23.1,16.1,39.2,317,727,1.47,0.93,2.4,1.33,2.27,1.74,1.07,2.82,1.54,2.61
vs Rayo Vallecano,24,27.4,46.1,15,165,1350,15.0,16,9,25,13,3,3,23,3,19.3,16.9,12.4,29.3,243,495,1.07,0.6,1.67,0.87,1.47,1.29,0.83,2.11,1.13,1.96
vs Real Madrid,23,27.5,40.6,16,176,1440,16.0,15,11,26,13,2,2,37,6,17.8,16.3,13.8,30.1,263,449,0.94,0.69,1.62,0.81,1.5,1.11,0.86,1.97,1.02,1.88
vs Real Sociedad,27,27.9,48.1,15,165,1350,15.0,21,16,37,19,2,2,37,3,19.8,18.2,15.1,33.3,189,475,1.4,1.07,2.47,1.27,2.33,1.32,1.01,2.32,1.21,2.22
vs Sevilla,31,27.7,46.0,15,165,1350,15.0,24,14,38,20,4,5,32,1,24.5,20.8,15.7,36.5,208,490,1.6,0.93,2.53,1.33,2.27,1.63,1.05,2.68,1.39,2.44
vs Valencia,21,27.4,52.8,15,165,1350,15.0,22,14,36,20,2,3,34,4,21.0,18.6,14.9,33.6,260,603,1.47,0.93,2.4,1.33,2.27,1.4,1.0,2.39,1.24,2.24
vs Villarreal,26,27.6,52.8,15,165,1350,15.0,13,9,22,11,2,3,27,3,16.2,13.8,11.1,24.9,263,710,0.87,0.6,1.47,0.73,1.33,1.08,0.74,1.82,0.92,1.66
