Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Eric García,es ESP,"DF,MF",24-338,16,14,1223.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.6,1.6,1.2,2.8,14.0,95.0,28.0,0.07,0.0,0.07,0.07,0.07,0.12,0.09,0.21,0.12,0.21,Matches
Pau Cubarsí,es ESP,DF,18-325,12,12,1043.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.4,0.6,14.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.05,0.02,0.05,Matches
Pedri,es ESP,MF,23-018,13,12,1010.0,11.2,2.0,4.0,6.0,2.0,0.0,0.0,2.0,1.0,0.9,0.9,3.0,3.9,49.0,122.0,46.0,0.18,0.36,0.53,0.18,0.53,0.08,0.27,0.35,0.08,0.35,Matches
Jules Koundé,fr FRA,DF,27-031,15,11,1073.0,11.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.7,1.2,20.0,51.0,47.0,0.08,0.08,0.17,0.08,0.17,0.04,0.06,0.1,0.04,0.1,Matches
Lamine Yamal,es ESP,FW,18-153,12,11,989.0,11.0,6.0,7.0,13.0,4.0,2.0,2.0,0.0,0.0,4.4,2.8,4.0,6.7,75.0,50.0,102.0,0.55,0.64,1.18,0.36,1.0,0.4,0.36,0.76,0.25,0.61,Matches
Ferrán Torres,es ESP,FW,25-287,15,11,930.0,10.3,11.0,1.0,12.0,11.0,0.0,0.0,2.0,0.0,7.6,7.6,1.3,8.9,7.0,15.0,64.0,1.06,0.1,1.16,1.06,1.16,0.73,0.13,0.86,0.73,0.86,Matches
Alejandro Balde,es ESP,DF,22-056,12,11,856.0,9.5,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.2,1.4,22.0,36.0,66.0,0.0,0.21,0.21,0.0,0.21,0.02,0.13,0.14,0.02,0.14,Matches
Marcus Rashford,eng ENG,FW,28-043,15,10,964.0,10.7,2.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,3.4,3.4,2.9,6.3,46.0,30.0,120.0,0.19,0.56,0.75,0.19,0.75,0.32,0.27,0.59,0.32,0.59,Matches
Joan García,es ESP,GK,24-223,10,10,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Frenkie de Jong,nl NED,MF,28-215,11,9,848.0,9.4,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,1.4,1.6,28.0,81.0,14.0,0.0,0.21,0.21,0.0,0.21,0.02,0.14,0.17,0.02,0.17,Matches
Gerard Martín,es ESP,DF,23-346,14,9,732.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.5,9.0,59.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches
Dani Olmo,es ESP,MF,27-220,13,8,834.0,9.3,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,3.3,3.3,2.3,5.6,19.0,53.0,60.0,0.43,0.22,0.65,0.43,0.65,0.36,0.24,0.6,0.36,0.6,Matches
Ronald Araújo,uy URU,DF,26-281,11,7,649.0,7.2,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,11.0,29.0,4.0,0.28,0.0,0.28,0.28,0.28,0.05,0.0,0.06,0.05,0.06,Matches
Robert Lewandowski,pl POL,FW,37-114,12,7,642.0,7.1,8.0,1.0,9.0,7.0,1.0,3.0,1.0,0.0,7.4,5.0,0.9,5.9,6.0,7.0,42.0,1.12,0.14,1.26,0.98,1.12,1.04,0.12,1.16,0.7,0.83,Matches
Raphinha,br BRA,"FW,MF",28-364,9,7,523.0,5.8,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,3.5,3.5,2.1,5.6,24.0,18.0,70.0,0.69,0.52,1.2,0.69,1.2,0.61,0.36,0.97,0.61,0.97,Matches
Fermin López,es ESP,"MF,FW",22-216,10,6,571.0,6.3,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,2.1,2.1,2.7,4.9,15.0,28.0,40.0,0.63,0.32,0.95,0.63,0.95,0.34,0.43,0.77,0.34,0.77,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marc Casado,es ESP,MF,22-090,11,6,534.0,5.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,7.0,27.0,8.0,0.0,0.17,0.17,0.0,0.17,0.05,0.03,0.08,0.05,0.08,Matches
