Unnamed: 0_level_0,Unnamed: 1_level_0,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
1,Barcelona,8,8,0,0,26,5,21,24,3.0,19.3,7.1,12.2,1.52,8,5,1,2,21,15,6,16,2.0,17.1,14.2,2.9,0.37
2,Real Madrid,7,6,0,1,14,5,9,18,2.57,16.9,6.2,10.7,1.53,9,5,3,1,18,10,8,18,2.0,20.9,11.6,9.3,1.04
3,Villarreal,8,7,1,0,20,4,16,22,2.75,14.6,7.5,7.1,0.89,7,4,1,2,11,9,2,13,1.86,10.3,8.7,1.6,0.23
4,Atlético Madrid,8,7,1,0,20,6,14,22,2.75,19.3,7.3,12.0,1.5,8,2,3,3,8,9,-1,9,1.13,8.0,11.1,-3.2,-0.39
5,Espanyol,9,6,1,2,13,10,3,19,2.11,14.5,11.4,3.0,0.34,6,2,2,2,6,6,0,8,1.33,8.9,5.9,3.0,0.5
6,Betis,8,4,1,3,14,11,3,13,1.63,12.7,9.5,3.2,0.4,7,2,5,0,11,8,3,11,1.57,9.5,7.4,2.1,0.3
7,Athletic Club,9,5,1,3,9,9,0,16,1.78,13.2,6.7,6.5,0.72,7,2,1,4,6,11,-5,7,1.0,7.9,9.6,-1.7,-0.24
8,Getafe,7,3,2,2,7,5,2,11,1.57,4.6,7.3,-2.8,-0.4,8,3,0,5,6,12,-6,9,1.13,5.9,6.8,-0.9,-0.11
9,Elche,8,4,4,0,12,5,7,16,2.0,12.2,10.4,1.8,0.23,7,0,3,4,6,12,-6,3,0.43,4.9,10.0,-5.1,-0.74
10,Celta Vigo,8,0,5,3,7,12,-5,5,0.63,9.1,9.0,0.1,0.02,7,4,2,1,11,7,4,14,2.0,9.0,11.5,-2.4,-0.35
11,Alavés,8,4,2,2,10,7,3,14,1.75,9.1,6.8,2.3,0.29,7,1,1,5,3,8,-5,4,0.57,6.8,8.2,-1.4,-0.2
12,Rayo Vallecano,6,1,4,1,4,4,0,7,1.17,8.7,5.8,2.9,0.49,9,3,1,5,9,12,-3,10,1.11,11.7,13.5,-1.8,-0.2
13,Sevilla,7,2,1,4,10,12,-2,7,1.0,7.7,9.7,-2.0,-0.29,8,3,1,4,10,12,-2,10,1.25,6.0,14.8,-8.9,-1.11
14,Real Sociedad,7,3,1,3,11,11,0,10,1.43,10.9,8.4,2.5,0.36,8,1,3,4,8,11,-3,6,0.75,9.4,11.4,-2.0,-0.25
15,Osasuna,7,4,1,2,11,8,3,13,1.86,8.2,7.0,1.2,0.17,8,0,2,6,3,10,-7,2,0.25,8.2,12.5,-4.3,-0.53
16,Valencia,8,3,3,2,10,7,3,12,1.5,11.7,7.6,4.1,0.51,7,0,3,4,4,16,-12,3,0.43,4.0,13.3,-9.3,-1.33
17,Mallorca,7,2,4,1,7,8,-1,10,1.43,6.4,9.5,-3.0,-0.43,8,1,1,6,8,14,-6,4,0.5,8.1,15.9,-7.9,-0.98
18,Girona,8,2,3,3,8,14,-6,9,1.13,8.6,15.8,-7.2,-0.89,7,0,3,4,5,15,-10,3,0.43,7.5,12.1,-4.6,-0.66
19,Oviedo,8,1,3,4,2,10,-8,6,0.75,6.6,14.5,-7.9,-0.99,7,1,1,5,5,12,-7,4,0.57,6.0,11.7,-5.7,-0.81
20,Levante,6,0,1,5,6,16,-10,1,0.17,7.5,14.3,-6.9,-1.14,9,2,2,5,10,12,-2,8,0.89,11.7,11.6,0.1,0.01
