Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0
Squad,# Pl,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
vs Alavés,23,15.0,300,165,127,132,41,141,256,55.1,115,161,44,117,122,422,389,9
vs Athletic Club,25,16.0,291,175,149,117,25,144,268,53.7,124,176,60,116,159,450,464,11
vs Atlético Madrid,23,16.0,257,157,126,97,34,139,261,53.3,122,165,36,129,127,384,443,6
vs Barcelona,25,16.0,316,172,187,96,33,177,359,49.3,182,223,84,139,134,450,367,20
vs Betis,26,15.0,241,152,132,91,18,103,209,49.3,106,186,63,123,127,368,369,14
vs Celta Vigo,25,15.0,222,146,105,91,26,126,217,58.1,91,165,42,123,143,365,289,11
vs Elche,27,15.0,258,141,99,121,38,115,238,48.3,123,134,48,86,109,367,341,7
vs Espanyol,22,15.0,225,122,106,94,25,96,188,51.1,92,133,49,84,100,325,413,10
vs Getafe,24,15.0,240,147,124,87,29,113,200,56.5,87,143,42,101,91,331,503,7
vs Girona,29,15.0,280,160,122,101,57,146,276,52.9,130,144,43,101,103,383,312,5
vs Levante,25,15.0,257,155,121,102,34,112,207,54.1,95,150,45,105,125,382,395,9
vs Mallorca,25,15.0,237,141,108,93,36,112,223,50.2,111,137,35,102,100,337,386,8
vs Osasuna,21,15.0,236,142,114,103,19,120,214,56.1,94,149,41,108,109,345,436,8
vs Oviedo,27,15.0,208,137,79,93,36,113,234,48.3,121,123,31,92,113,321,329,9
vs Rayo Vallecano,24,15.0,213,136,98,81,34,107,210,51.0,103,173,43,130,116,329,393,12
vs Real Madrid,23,16.0,296,173,198,66,32,187,357,52.4,170,187,80,107,139,435,408,18
vs Real Sociedad,27,15.0,235,146,124,84,27,135,250,54.0,115,181,57,124,120,355,455,16
vs Sevilla,31,15.0,259,146,117,106,36,131,238,55.0,107,165,48,117,106,365,356,8
vs Valencia,21,15.0,220,136,98,94,28,118,220,53.6,102,143,49,94,128,348,389,9
vs Villarreal,26,15.0,250,146,124,85,41,129,252,51.2,123,134,44,90,115,365,348,11
