Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
vs Alavés,1,15.0,13,4,0,3,1,13.4,0.2,1.4,0.09,92,216,42.6,406,53,39.2,35.9,122,46.7,41.1,209,11,5.3,19,1.27,14.6
vs Athletic Club,1,16.0,15,3,0,2,1,16.7,0.23,2.7,0.17,80,249,32.1,552,79,34.4,33.5,143,41.3,36.6,281,21,7.5,28,1.75,14.8
vs Atlético Madrid,2,16.0,28,2,2,0,3,31.3,0.34,6.3,0.4,93,240,38.8,431,71,40.6,36.2,132,49.2,41.3,260,13,5.0,21,1.31,14.1
vs Barcelona,2,16.0,47,3,0,6,1,36.2,0.29,-9.8,-0.61,94,301,31.2,389,72,52.2,41.3,144,68.1,50.1,163,7,4.3,33,2.06,17.2
vs Betis,2,15.0,25,1,0,3,1,23.7,0.33,-0.3,-0.02,73,197,37.1,427,67,34.2,33.1,122,41.8,35.6,191,15,7.9,43,2.87,17.3
vs Celta Vigo,1,15.0,18,2,0,4,0,18.7,0.3,0.7,0.04,69,204,33.8,435,58,34.9,35.7,109,47.7,38.7,152,5,3.3,32,2.13,18.8
vs Elche,2,15.0,18,0,1,0,0,16.4,0.25,-1.6,-0.11,71,195,36.4,378,62,41.0,37.3,93,43.0,36.3,173,12,6.9,19,1.27,13.9
vs Espanyol,1,15.0,19,3,0,3,0,24.5,0.34,5.5,0.37,70,181,38.7,466,77,30.5,32.8,107,36.4,34.1,272,18,6.6,17,1.13,14.0
vs Getafe,1,15.0,13,0,0,4,0,11.8,0.33,-1.2,-0.08,58,181,32.0,402,62,36.3,36.0,90,38.9,36.1,225,11,4.9,26,1.73,15.4
vs Girona,2,15.0,13,3,0,1,0,18.6,0.3,5.6,0.37,51,147,34.7,378,70,32.5,33.0,77,31.2,31.0,149,8,5.4,21,1.4,16.4
vs Levante,2,15.0,16,1,1,3,0,17.2,0.34,1.2,0.08,72,178,40.4,360,55,35.8,34.4,98,50.0,41.0,143,7,4.9,25,1.67,17.2
vs Mallorca,2,15.0,15,2,0,1,0,13.5,0.22,-1.5,-0.1,60,166,36.1,344,60,32.8,33.6,96,55.2,46.5,204,5,2.5,24,1.6,16.9
vs Osasuna,1,15.0,14,2,1,3,0,15.1,0.26,1.1,0.07,69,218,31.7,434,62,36.9,35.0,111,52.3,42.2,228,14,6.1,32,2.13,16.5
vs Oviedo,1,15.0,7,1,0,2,0,11.2,0.24,4.2,0.28,63,163,38.7,403,49,32.3,31.1,86,38.4,35.0,191,10,5.2,31,2.07,16.5
vs Rayo Vallecano,1,15.0,13,1,0,3,0,16.9,0.26,3.9,0.26,80,215,37.2,411,81,35.8,34.9,134,50.7,41.2,243,18,7.4,29,1.94,14.9
vs Real Madrid,1,16.0,32,5,0,2,0,38.7,0.29,6.7,0.42,72,235,30.6,401,53,41.1,38.6,155,45.2,39.0,195,10,5.1,18,1.13,15.4
vs Real Sociedad,1,15.0,19,3,1,1,0,21.4,0.28,2.4,0.16,87,268,32.5,447,57,43.8,36.9,131,55.0,42.6,236,15,6.4,22,1.47,14.7
vs Sevilla,2,15.0,20,2,0,0,3,14.4,0.29,-2.6,-0.17,62,221,28.1,420,40,40.7,36.1,94,53.2,41.0,180,14,7.8,17,1.13,16.4
vs Valencia,1,15.0,14,0,0,5,0,13.7,0.31,-0.3,-0.02,68,178,38.2,374,58,35.8,34.7,80,55.0,42.7,200,6,3.0,21,1.4,18.1
vs Villarreal,2,15.0,31,1,0,3,0,23.2,0.32,-7.8,-0.52,90,206,43.7,356,60,41.6,37.2,133,43.6,37.4,168,7,4.2,17,1.13,14.4
