Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Squad,# Pl,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
vs Alavés,23,15.0,33,1,0,208,231,23,258,122,165,1,4,1,612,246,257,48.9
vs Athletic Club,25,16.0,34,1,1,201,206,64,241,159,175,0,3,1,701,238,226,51.3
vs Atlético Madrid,23,16.0,38,0,0,169,167,19,269,127,157,2,3,3,619,223,226,49.7
vs Barcelona,25,16.0,45,4,1,195,149,80,201,134,172,2,5,1,605,122,181,40.3
vs Betis,26,15.0,38,2,0,210,140,45,265,127,152,1,1,1,678,188,194,49.2
vs Celta Vigo,25,15.0,42,5,3,179,171,29,277,143,146,2,2,0,637,143,122,54.0
vs Elche,27,15.0,33,0,0,237,186,26,258,109,141,1,1,0,622,183,144,56.0
vs Espanyol,22,15.0,41,2,2,177,182,18,262,100,122,1,4,0,587,262,206,56.0
vs Getafe,24,15.0,31,2,0,220,214,41,230,91,147,1,0,0,604,306,235,56.6
vs Girona,29,15.0,20,1,0,204,152,21,307,103,160,3,3,0,602,177,177,50.0
vs Levante,25,15.0,33,2,1,186,176,15,371,125,155,1,2,0,627,206,203,50.4
vs Mallorca,25,15.0,31,4,0,195,161,25,329,100,141,2,2,0,625,209,243,46.2
vs Osasuna,21,15.0,34,1,0,171,184,38,265,109,142,3,3,0,647,215,265,44.8
vs Oviedo,27,15.0,20,1,0,166,168,16,315,113,137,4,2,0,579,181,206,46.8
vs Rayo Vallecano,24,15.0,23,3,1,156,199,13,253,116,136,3,2,0,620,182,133,57.8
vs Real Madrid,23,16.0,37,6,4,218,141,13,217,139,173,1,7,0,613,130,178,42.2
vs Real Sociedad,27,15.0,37,3,1,183,226,16,201,120,146,1,3,0,552,216,225,49.0
vs Sevilla,31,15.0,32,1,0,216,220,14,259,106,146,4,2,3,598,190,233,44.9
vs Valencia,21,15.0,34,4,2,176,174,41,244,128,136,2,1,0,620,196,173,53.1
vs Villarreal,26,15.0,27,3,2,169,179,10,270,115,146,2,1,0,563,159,145,52.3
