Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 17_level_0,Unnamed: 18_level_0,Expected,Expected,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0
Squad,# Pl,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
vs Alavés,23,15.0,5797,7268,79.8,102553,38026,2638,3004,87.8,2320,2704,85.8,628,1099,57.1,10,10.3,12.3,-0.3,122,475,114,32,519
vs Athletic Club,25,16.0,6287,7969,78.9,109951,38360,2884,3231,89.3,2632,3065,85.9,600,1195,50.2,14,12.3,10.8,1.7,100,368,85,29,448
vs Atlético Madrid,23,16.0,6220,7641,81.4,109345,38306,2827,3147,89.8,2654,3027,87.7,582,1071,54.3,12,13.8,13.6,-1.8,129,531,100,36,581
vs Barcelona,25,16.0,4038,5427,74.4,74504,30576,1783,2042,87.3,1618,1932,83.7,519,1059,49.0,15,16.8,11.0,-1.8,121,302,77,20,396
vs Betis,26,15.0,6177,7570,81.6,104287,38805,2990,3324,90.0,2564,2925,87.7,488,955,51.1,14,13.0,12.2,1.0,129,494,108,26,595
vs Celta Vigo,25,15.0,6587,7881,83.6,111448,37869,3175,3438,92.4,2716,3049,89.1,530,1013,52.3,12,13.3,15.8,-1.3,133,555,103,27,518
vs Elche,27,15.0,4805,6082,79.0,84370,32496,2227,2492,89.4,1968,2325,84.6,471,928,50.8,15,15.7,13.4,-0.7,145,440,97,34,465
vs Espanyol,22,15.0,7051,8385,84.1,123801,42056,3180,3469,91.7,3050,3412,89.4,663,1119,59.2,10,12.5,15.0,-2.5,148,529,108,30,630
vs Getafe,24,15.0,6009,7626,78.8,108141,37940,2636,3008,87.6,2661,3083,86.3,584,1137,51.4,12,10.8,12.0,1.2,118,487,88,33,520
vs Girona,29,15.0,6694,7958,84.1,113783,37858,3126,3404,91.8,2922,3283,89.0,507,926,54.8,18,18.5,19.9,-0.5,186,549,152,53,656
vs Levante,25,15.0,6831,8266,82.6,122084,40917,2984,3325,89.7,3102,3512,88.3,628,1092,57.5,22,20.4,21.1,1.6,199,622,163,44,712
vs Mallorca,25,15.0,6192,7626,81.2,111976,38650,2659,2954,90.0,2755,3163,87.1,655,1159,56.5,16,18.0,17.4,-2.0,152,576,134,37,669
vs Osasuna,21,15.0,6224,7644,81.4,110772,38631,2780,3068,90.6,2707,3095,87.5,598,1133,52.8,12,14.9,14.2,-2.9,149,507,114,36,595
vs Oviedo,27,15.0,6980,8229,84.8,114616,38809,3494,3772,92.6,2821,3183,88.6,501,895,56.0,14,16.1,19.8,-2.1,182,570,163,40,727
vs Rayo Vallecano,24,15.0,4920,6327,77.8,88435,34191,2153,2445,88.1,2069,2435,85.0,538,1042,51.6,9,12.4,11.0,-3.4,123,385,101,22,495
vs Real Madrid,23,16.0,5451,6727,81.0,95346,35303,2598,2844,91.4,2267,2591,87.5,496,1006,49.3,11,13.8,14.5,-2.8,128,410,88,28,449
vs Real Sociedad,27,15.0,5391,6805,79.2,96301,33789,2382,2685,88.7,2268,2660,85.3,580,1119,51.8,16,15.1,13.4,0.9,140,385,98,21,475
vs Sevilla,31,15.0,4519,5962,75.8,79587,32620,1929,2211,87.2,2018,2429,83.1,428,952,45.0,14,15.7,10.8,-1.7,120,349,97,24,490
vs Valencia,21,15.0,6244,7608,82.1,110785,37778,2777,3068,90.5,2752,3127,88.0,584,1058,55.2,14,14.9,14.2,-0.9,146,570,112,23,603
vs Villarreal,26,15.0,6877,8179,84.1,121123,40531,3034,3330,91.1,3094,3452,89.6,608,1049,58.0,9,11.1,12.8,-2.1,128,548,110,29,710
