Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
vs Alavés,23,15.0,7268,6468,777,275,9,59,258,287,66,26,20,1,5797,23,141
vs Athletic Club,25,16.0,7969,7089,816,227,28,52,241,341,74,23,32,0,6287,64,142
vs Atlético Madrid,23,16.0,7641,6910,712,205,22,43,269,277,54,21,15,1,6220,19,135
vs Barcelona,25,16.0,5427,4618,729,181,27,60,201,267,76,24,39,2,4038,80,134
vs Betis,26,15.0,7570,6864,661,173,26,28,265,244,82,34,36,1,6177,45,126
vs Celta Vigo,25,15.0,7881,7192,660,198,23,40,277,248,72,29,22,0,6587,29,118
vs Elche,27,15.0,6082,5378,678,214,23,23,258,272,66,20,32,0,4805,26,100
vs Espanyol,22,15.0,8385,7688,679,214,25,64,262,257,68,33,22,0,7051,18,119
vs Getafe,24,15.0,7626,6763,822,248,32,60,230,392,64,16,31,0,6009,41,160
vs Girona,29,15.0,7958,7307,630,174,26,33,307,264,87,37,23,0,6694,21,106
vs Levante,25,15.0,8266,7499,752,207,19,53,371,308,110,31,39,0,6831,15,138
vs Mallorca,25,15.0,7626,6911,690,183,11,60,329,282,99,45,22,1,6192,25,143
vs Osasuna,21,15.0,7644,6929,677,199,22,43,265,276,63,24,25,0,6224,38,116
vs Oviedo,27,15.0,8229,7482,731,199,15,47,315,328,96,54,19,0,6980,16,124
vs Rayo Vallecano,24,15.0,6327,5541,773,224,20,54,253,306,81,36,31,0,4920,13,146
vs Real Madrid,23,16.0,6727,6038,676,176,23,32,217,248,50,25,14,1,5451,13,127
vs Real Sociedad,27,15.0,6805,6008,781,255,20,56,201,301,60,26,23,0,5391,16,107
vs Sevilla,31,15.0,5962,5143,805,264,7,16,259,333,79,29,31,0,4519,14,131
vs Valencia,21,15.0,7608,6900,667,193,32,51,244,293,72,37,18,0,6244,41,106
vs Villarreal,26,15.0,8179,7472,697,210,26,69,270,251,57,31,13,0,6877,10,128
