Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
vs Alavés,23,27.7,15,1350,90,100,15.0,165,80,93,72,19,100,1.6,15,13,2,0.13,15.0,15.9,-0.9,-0.06
vs Athletic Club,25,27.4,16,1440,90,100,16.0,176,79,103,74,21,99,1.44,20,15,5,0.31,16.2,21.1,-4.8,-0.3
vs Atlético Madrid,23,27.8,16,1440,90,100,16.0,176,79,96,81,20,102,0.81,15,28,-13,-0.81,18.4,27.2,-8.8,-0.55
vs Barcelona,25,28.0,16,1440,90,100,16.0,176,81,95,80,24,104,0.44,20,47,-27,-1.69,21.3,36.4,-15.1,-0.94
vs Betis,26,27.1,15,1350,90,100,15.0,165,82,91,74,22,95,1.0,19,25,-6,-0.4,16.9,22.2,-5.3,-0.36
vs Celta Vigo,25,27.8,15,1350,90,100,15.0,165,79,93,68,18,92,1.27,19,18,1,0.07,20.4,18.1,2.3,0.15
vs Elche,27,27.6,15,1350,90,100,15.0,165,81,93,72,21,99,1.27,17,18,-1,-0.07,20.5,17.1,3.3,0.22
vs Espanyol,22,27.6,15,1350,90,100,15.0,165,81,91,72,21,94,1.0,16,19,-3,-0.2,17.3,23.4,-6.0,-0.4
vs Getafe,24,27.4,15,1350,90,100,15.0,165,82,96,70,25,102,1.53,17,13,4,0.27,14.1,10.5,3.7,0.25
vs Girona,29,27.3,15,1350,90,100,15.0,165,79,91,73,27,102,1.8,29,13,16,1.07,27.9,16.1,11.8,0.79
vs Levante,25,27.3,15,1350,90,100,15.0,165,81,90,73,20,97,2.2,28,16,12,0.8,25.9,19.2,6.8,0.45
vs Mallorca,25,27.4,15,1350,90,100,15.0,165,81,88,74,19,94,1.73,22,15,7,0.47,25.4,14.5,10.9,0.73
vs Osasuna,21,27.5,15,1350,90,100,15.0,165,82,96,68,23,105,1.8,18,14,4,0.27,19.4,16.4,3.1,0.2
vs Oviedo,27,27.6,15,1350,90,100,15.0,165,80,91,74,19,96,2.07,22,7,15,1.0,26.1,12.6,13.6,0.9
vs Rayo Vallecano,24,27.4,15,1350,90,100,15.0,165,81,93,69,22,104,1.53,16,13,3,0.2,19.3,20.4,-1.1,-0.07
vs Real Madrid,23,27.5,16,1440,90,100,16.0,176,81,96,75,19,105,0.56,15,32,-17,-1.06,17.8,37.8,-20.0,-1.25
vs Real Sociedad,27,27.9,15,1350,90,100,15.0,165,80,90,73,21,98,1.67,22,19,3,0.2,19.8,20.3,-0.6,-0.04
vs Sevilla,31,27.7,15,1350,90,100,15.0,165,80,97,68,19,94,1.73,24,20,4,0.27,24.5,13.6,10.9,0.72
vs Valencia,21,27.4,15,1350,90,100,15.0,165,80,99,64,19,102,1.6,23,14,9,0.6,21.0,15.7,5.2,0.35
vs Villarreal,26,27.6,15,1350,90,100,15.0,165,80,92,72,21,98,0.53,13,31,-18,-1.2,16.2,24.9,-8.7,-0.58
