Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90
Alavés,23,27.9,15,1350,90,100,15.0,165,80,92,73,22,97,1.2,13,15,-2,-0.13,15.9,15.0,0.9,0.06
Athletic Club,25,27.9,16,1440,90,100,16.0,176,79,97,78,23,106,1.44,15,20,-5,-0.31,21.1,16.2,4.8,0.3
Atlético Madrid,23,28.1,16,1440,90,100,16.0,176,79,98,80,23,111,1.94,28,15,13,0.81,27.2,18.4,8.8,0.55
Barcelona,25,25.3,16,1440,90,100,16.0,176,81,98,76,22,99,2.5,47,20,27,1.69,36.4,21.3,15.1,0.94
Betis,26,28.0,15,1350,90,100,15.0,165,82,101,64,20,102,1.6,25,19,6,0.4,22.2,16.9,5.3,0.36
Celta Vigo,25,26.6,15,1350,90,100,15.0,165,79,89,75,23,105,1.27,18,19,-1,-0.07,18.1,20.4,-2.3,-0.15
Elche,27,27.1,15,1350,90,100,15.0,165,81,89,75,19,101,1.27,18,17,1,0.07,17.1,20.5,-3.3,-0.22
Espanyol,22,27.8,15,1350,90,100,15.0,165,81,89,74,19,103,1.8,19,16,3,0.2,23.4,17.3,6.0,0.4
Getafe,24,28.9,15,1350,90,100,15.0,165,82,106,57,21,88,1.33,13,17,-4,-0.27,10.5,14.1,-3.7,-0.25
Girona,29,27.7,15,1350,90,100,15.0,165,79,89,72,24,84,0.8,13,29,-16,-1.07,16.1,27.9,-11.8,-0.79
Levante,25,27.1,15,1350,90,100,15.0,165,81,89,75,19,96,0.6,16,28,-12,-0.8,19.2,25.9,-6.8,-0.45
Mallorca,25,28.3,15,1350,90,100,15.0,165,81,93,70,19,108,0.93,15,22,-7,-0.47,14.5,25.4,-10.9,-0.73
Osasuna,21,28.5,15,1350,90,100,15.0,165,82,99,65,19,71,1.0,14,18,-4,-0.27,16.4,19.4,-3.1,-0.2
Oviedo,27,29.0,15,1350,90,100,15.0,165,80,88,73,22,105,0.67,7,22,-15,-1.0,12.6,26.1,-13.6,-0.9
Rayo Vallecano,24,29.4,15,1350,90,100,15.0,165,81,91,73,19,97,1.13,13,16,-3,-0.2,20.4,19.3,1.1,0.07
Real Madrid,23,25.8,16,1440,90,100,16.0,176,81,99,74,20,104,2.25,32,15,17,1.06,37.8,17.8,20.0,1.25
Real Sociedad,27,26.5,15,1350,90,100,15.0,165,80,90,76,21,103,1.07,19,22,-3,-0.2,20.3,19.8,0.6,0.04
Sevilla,31,27.7,15,1350,90,100,15.0,165,80,97,68,23,103,1.13,20,24,-4,-0.27,13.6,24.5,-10.9,-0.72
Valencia,21,26.9,15,1350,90,100,15.0,165,80,91,73,22,104,1.0,14,23,-9,-0.6,15.7,21.0,-5.2,-0.35
Villarreal,26,26.6,15,1350,90,100,15.0,165,80,89,75,22,95,2.33,31,13,18,1.2,24.9,16.2,8.7,0.58
