Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
vs Alavés,23,50.8,15.0,9109,912,2847,4167,2182,292,9108,296,137,46.3,128,43.2,4884,24508,12223,213,201,47,243,145,5750,517
vs Athletic Club,25,51.9,16.0,9926,1236,3998,4239,1796,270,9926,310,136,43.9,131,42.3,5202,26050,12806,223,175,57,277,111,6244,446
vs Atlético Madrid,23,45.8,16.0,9499,1062,2916,4301,2372,270,9497,311,144,46.3,130,41.8,5304,25735,13052,241,217,43,255,123,6179,574
vs Barcelona,25,33.9,16.0,7245,1202,2986,2777,1549,283,7241,242,97,40.1,123,50.8,3309,17048,8150,176,105,77,202,146,4019,393
vs Betis,26,49.6,15.0,9329,1027,3207,4149,2063,301,9327,305,146,47.9,124,40.7,5337,26996,14034,294,187,70,231,140,6130,591
vs Celta Vigo,25,49.0,15.0,9493,917,2971,4067,2539,342,9488,264,99,37.5,127,48.1,5381,26127,12716,253,192,69,222,120,6537,511
vs Elche,27,41.4,15.0,7713,789,2317,3395,2083,321,7711,232,88,37.9,126,54.3,3978,22151,11110,238,169,75,218,122,4739,459
vs Espanyol,22,58.5,15.0,10117,1028,3299,4735,2165,330,10116,271,131,48.3,117,43.2,6135,30618,16097,293,193,77,258,117,6993,623
vs Getafe,24,59.3,15.0,9489,863,3109,4400,2059,261,9488,300,131,43.7,147,49.0,4913,24851,12950,230,171,56,267,130,5956,518
vs Girona,29,53.1,15.0,9596,801,2678,4234,2779,404,9592,209,104,49.8,87,41.6,5669,28557,14796,288,218,80,223,115,6639,649
vs Levante,25,58.2,15.0,10085,768,2734,4718,2720,449,10084,282,113,40.1,145,51.4,5791,29777,15488,319,214,89,220,106,6772,707
vs Mallorca,25,55.1,15.0,9320,752,2513,4254,2628,385,9317,237,98,41.4,108,45.6,5135,25989,13846,280,181,87,233,103,6140,664
vs Osasuna,21,53.7,15.0,9427,989,3030,4082,2385,298,9424,253,100,39.5,124,49.0,5215,26122,13204,262,206,74,243,108,6178,590
vs Oviedo,27,55.2,15.0,9866,791,2473,4555,2923,398,9862,282,114,40.4,133,47.2,6121,31511,16553,317,238,85,219,125,6933,721
vs Rayo Vallecano,24,46.1,15.0,8040,978,2786,3353,1994,342,8037,280,139,49.6,118,42.1,4132,22844,12011,243,173,72,229,128,4886,494
vs Real Madrid,23,40.6,16.0,8581,1240,3369,3446,1865,257,8579,252,100,39.7,138,54.8,4717,24046,12305,263,175,64,249,143,5411,443
vs Real Sociedad,27,48.1,15.0,8663,1058,3061,3758,1930,294,8661,288,128,44.4,129,44.8,4571,22322,11170,189,168,56,245,135,5351,471
vs Sevilla,31,46.0,15.0,7710,818,2477,3504,1822,313,7705,293,118,40.3,147,50.2,3759,21216,10969,208,147,67,255,143,4457,487
vs Valencia,21,52.8,15.0,9315,823,2605,4448,2337,372,9312,225,80,35.6,121,53.8,4967,24830,12871,260,173,85,243,110,6202,599
vs Villarreal,26,52.8,15.0,9842,955,2809,4727,2373,330,9839,305,110,36.1,161,52.8,5718,27677,14596,263,172,53,201,106,6830,706
