Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
Alavés,23,49.2,15.0,8775,787,2556,4233,2066,274,8771,286,115,40.2,141,49.3,4399,20934,10270,196,153,49,244,159,5376,466
Athletic Club,25,48.1,16.0,9263,819,2622,4293,2435,368,9260,300,124,41.3,144,48.0,4630,23572,12775,252,204,54,324,147,5657,659
Atlético Madrid,23,54.2,16.0,10608,998,3177,4739,2779,430,10605,292,122,41.8,139,47.6,6136,30463,16314,316,235,92,223,118,7367,710
Barcelona,25,66.1,16.0,12618,889,3084,5956,3685,544,12613,396,182,46.0,177,44.7,7429,39323,20058,384,284,148,223,139,9385,810
Betis,26,50.4,15.0,9587,893,2967,4227,2478,365,9586,247,106,42.9,103,41.7,5521,27527,14021,282,206,80,234,138,6357,610
Celta Vigo,25,51.0,15.0,9811,1037,3096,4549,2234,281,9809,241,91,37.8,126,52.3,5548,26300,14304,262,181,75,195,96,6898,638
Elche,27,58.6,15.0,10190,944,3318,4576,2388,286,10189,258,123,47.7,115,44.6,5728,28802,14672,259,195,62,246,143,7210,565
Espanyol,22,41.5,15.0,7691,876,2470,3376,1931,293,7687,208,92,44.2,96,46.2,4063,20844,10968,251,165,40,221,129,4594,495
Getafe,24,40.7,15.0,6952,683,2124,3122,1778,219,6952,229,87,38.0,113,49.3,2743,13928,6224,130,101,26,262,127,3391,361
Girona,29,46.9,15.0,8504,1209,3325,3442,1815,263,8501,295,130,44.1,146,49.5,5183,28369,14308,278,171,68,217,134,5551,510
Levante,25,41.8,15.0,7650,1039,2810,3266,1644,258,7648,226,95,42.0,112,49.6,4068,18967,8776,152,114,40,238,145,4414,385
Mallorca,25,44.9,15.0,8028,1054,2936,3409,1774,228,8026,247,111,44.9,112,45.3,4340,21978,10421,179,172,32,224,125,4825,465
Osasuna,21,46.3,15.0,8250,886,2720,3740,1886,300,8247,240,94,39.2,120,50.0,4440,22415,10698,193,196,57,232,115,5000,440
Oviedo,27,44.8,15.0,8254,1196,3399,3450,1473,244,8252,245,121,49.4,113,46.1,4629,24452,12292,215,140,43,228,95,5237,430
Rayo Vallecano,24,53.9,15.0,9134,1119,3210,3906,2103,275,9132,230,103,44.8,107,46.5,4879,24647,12854,254,172,49,264,106,5933,551
Real Madrid,23,59.4,16.0,11908,855,2732,5377,3901,578,11901,410,170,41.5,187,45.6,7089,37281,19564,397,255,168,226,109,8710,883
Real Sociedad,27,51.9,15.0,9074,862,2582,4394,2173,340,9071,284,115,40.5,135,47.5,5178,25886,13789,254,192,77,240,100,5779,586
Sevilla,31,54.0,15.0,8796,953,3131,3789,1951,314,8794,266,107,40.2,131,49.2,4678,24520,12598,254,161,66,249,128,5515,484
Valencia,21,47.2,15.0,8407,977,2953,3716,1824,255,8406,251,102,40.6,118,47.0,4368,23326,11656,227,159,54,204,102,5288,527
Villarreal,26,47.2,15.0,8865,933,2973,3749,2246,397,8864,286,123,43.0,129,45.1,5189,25441,14385,318,219,103,239,121,5859,588
