Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
vs Alavés,23,15.0,15,166,47,28.3,11.07,3.13,0.08,0.3,18.2,5,1,1,15.0,14.2,0.09,0.0,-0.2
vs Athletic Club,25,16.0,19,156,63,40.4,9.75,3.94,0.12,0.3,17.3,0,0,0,16.2,16.2,0.11,2.8,2.8
vs Atlético Madrid,23,16.0,15,163,44,27.0,10.19,2.75,0.09,0.32,18.2,4,1,2,18.4,16.8,0.11,-3.4,-2.8
vs Barcelona,25,16.0,20,146,52,35.6,9.12,3.25,0.12,0.33,15.7,2,3,4,21.3,18.4,0.13,-1.3,-1.4
vs Betis,26,15.0,18,169,55,32.5,11.27,3.67,0.1,0.31,17.7,5,1,2,16.9,15.4,0.09,1.1,1.6
vs Celta Vigo,25,15.0,18,184,67,36.4,12.27,4.47,0.09,0.24,18.0,5,2,5,20.4,16.5,0.09,-2.4,-0.5
vs Elche,27,15.0,17,188,59,31.4,12.53,3.93,0.08,0.25,18.8,6,2,2,20.5,19.1,0.1,-3.5,-4.1
vs Espanyol,22,15.0,15,195,62,31.8,13.0,4.13,0.07,0.23,17.9,8,1,1,17.3,16.5,0.09,-2.3,-2.5
vs Getafe,24,15.0,15,154,63,40.9,10.27,4.2,0.09,0.22,18.1,8,1,1,14.1,13.4,0.09,0.9,0.6
vs Girona,29,15.0,29,257,80,31.1,17.13,5.33,0.1,0.31,17.2,7,4,4,27.9,24.8,0.1,1.1,0.2
vs Levante,25,15.0,26,256,80,31.3,17.07,5.33,0.1,0.31,16.6,3,1,1,25.9,25.1,0.1,0.1,-0.1
vs Mallorca,25,15.0,22,212,66,31.1,14.13,4.4,0.09,0.3,18.1,5,2,3,25.4,23.1,0.11,-3.4,-3.1
vs Osasuna,21,15.0,18,188,70,37.2,12.53,4.67,0.08,0.21,19.5,3,3,3,19.4,17.3,0.09,-1.4,-2.3
vs Oviedo,27,15.0,22,240,95,39.6,16.0,6.33,0.08,0.21,17.6,3,2,4,26.1,23.1,0.1,-4.1,-3.1
vs Rayo Vallecano,24,15.0,16,172,52,30.2,11.47,3.47,0.08,0.25,18.5,6,3,3,19.3,16.9,0.1,-3.3,-3.9
vs Real Madrid,23,16.0,15,159,48,30.2,9.94,3.0,0.08,0.27,18.2,4,2,2,17.8,16.3,0.1,-2.8,-3.3
vs Real Sociedad,27,15.0,21,182,50,27.5,12.13,3.33,0.1,0.38,18.1,4,2,2,19.8,18.2,0.1,1.2,0.8
vs Sevilla,31,15.0,24,162,66,40.7,10.8,4.4,0.12,0.3,16.8,4,4,5,24.5,20.8,0.13,-0.5,-0.8
vs Valencia,21,15.0,22,192,64,33.3,12.8,4.27,0.1,0.31,17.8,6,2,3,21.0,18.6,0.1,1.0,1.4
vs Villarreal,26,15.0,13,180,46,25.6,12.0,3.07,0.06,0.24,18.7,9,2,3,16.2,13.8,0.08,-3.2,-2.8
