Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 20_level_0
Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,1042,983,56,20,3,1,7,36,0,0,0,0,937,3,15,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,1048,1007,41,36,1,1,0,3,0,0,0,0,992,0,2,Matches
Pedri,es ESP,MF,23-018,11.2,1046,1005,38,31,8,3,5,7,0,0,0,0,951,3,19,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,891,791,100,15,2,3,16,85,0,0,0,0,783,0,14,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,581,552,26,7,7,2,29,9,10,5,0,0,453,3,10,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,226,206,19,0,0,2,1,1,1,0,0,0,166,1,9,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,550,477,72,9,1,0,13,63,0,0,0,0,495,1,9,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,449,383,64,5,1,2,57,5,53,32,5,0,346,2,5,Matches
Joan García,es ESP,GK,24-223,10.0,350,305,45,15,0,0,0,0,0,0,0,0,317,0,0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,771,742,26,23,2,4,3,2,0,0,0,0,721,3,7,Matches
Gerard Martín,es ESP,DF,23-346,8.1,669,616,51,6,0,2,8,40,0,0,0,0,588,2,6,Matches
Dani Olmo,es ESP,MF,27-220,9.3,527,481,43,15,5,1,10,4,15,3,1,0,429,3,15,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,480,455,24,17,1,0,2,5,0,0,0,0,444,1,2,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,127,122,2,1,0,0,0,0,0,0,0,0,92,3,7,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,281,247,33,10,3,6,22,8,14,8,0,0,218,1,8,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,291,284,3,0,5,1,10,1,0,0,0,0,240,4,5,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,217,174,40,10,0,0,0,0,0,0,0,0,179,3,0,Matches
Marc Casado,es ESP,MF,22-090,5.9,487,465,21,19,1,1,1,1,0,0,0,0,450,1,5,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,320,297,23,18,0,0,0,1,0,0,0,0,306,0,2,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,140,128,11,0,1,0,20,0,11,7,0,0,108,1,4,Matches
Marc Bernal,es ESP,MF,18-201,1.1,82,80,2,2,1,0,0,0,0,0,0,0,74,0,0,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,47,45,2,0,0,0,0,0,0,0,0,0,40,0,2,Matches
Toni Fernández,es ESP,FW,17-151,0.5,9,9,0,0,0,0,0,0,0,0,0,0,7,0,1,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,68,67,1,1,0,0,1,0,0,0,0,0,63,0,1,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,44,37,7,0,0,0,3,7,0,0,0,0,37,0,1,Matches
Squad Total,,,25.3,16.0,10743,9958,750,260,42,29,208,278,104,55,6,0,9436,35,149,
Opponent Total,,,28.0,16.0,5427,4618,729,181,27,60,201,267,76,24,39,2,4038,80,134,
