Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 27_level_0
Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,1176,51,338,632,211,24,1176,7,2,28.6,3,42.9,610,2583,1355,14,16,2,7,4,880,28,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,1144,100,447,656,45,5,1144,2,1,50.0,0,0.0,716,4198,2060,14,14,1,2,0,893,1,Matches
Pedri,es ESP,MF,23-018,11.2,1172,18,131,700,358,13,1172,27,21,77.8,4,14.8,779,5082,2518,49,60,4,17,15,937,46,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,1020,39,278,517,230,32,1020,17,9,52.9,7,41.2,587,2333,1181,20,11,3,14,11,723,47,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,794,3,71,294,446,97,792,127,63,49.6,54,42.5,514,3629,2113,75,33,53,30,20,637,102,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,338,7,24,126,190,61,338,13,3,23.1,10,76.9,181,586,227,7,5,3,25,8,258,64,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,637,17,155,255,235,21,637,20,10,50.0,6,30.0,341,1787,923,22,19,7,9,6,441,66,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,599,9,42,122,445,73,599,57,16,28.1,35,61.4,328,2198,1095,46,24,32,27,14,454,120,Matches
Joan García,es ESP,GK,24-223,10.0,374,287,373,1,0,0,374,1,1,100.0,0,0.0,225,997,500,0,0,0,0,0,204,0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,840,15,132,501,215,13,840,5,2,40.0,2,40.0,508,3180,1751,28,16,2,5,8,669,14,Matches
Gerard Martín,es ESP,DF,23-346,8.1,767,47,263,381,128,4,767,8,4,50.0,3,37.5,421,1900,978,9,15,1,5,1,524,37,Matches
Dani Olmo,es ESP,MF,27-220,9.3,656,9,74,299,291,47,656,21,3,14.3,14,66.7,354,1637,732,19,16,8,18,9,477,60,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,545,37,174,337,35,10,545,1,0,0.0,0,0.0,324,1938,1124,11,6,2,3,1,382,4,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,216,5,19,69,129,50,213,11,5,45.5,5,45.5,119,431,132,6,3,5,18,15,163,42,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,359,4,23,123,215,38,359,17,7,41.2,9,52.9,205,1216,660,24,9,11,10,8,272,70,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,371,3,41,154,181,27,371,24,14,58.3,10,41.7,210,1097,590,15,12,7,13,7,291,40,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,238,189,232,6,0,0,238,0,0,,0,,138,585,251,0,0,0,0,0,133,0,Matches
Marc Casado,es ESP,MF,22-090,5.9,549,11,90,341,123,3,549,4,2,50.0,2,50.0,337,1536,609,7,9,0,10,3,424,8,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,359,33,124,217,19,2,359,0,0,,0,,234,1030,573,3,6,1,0,2,264,0,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,182,1,9,68,106,16,182,25,14,56.0,11,44.0,126,757,430,13,3,6,5,2,142,37,Matches
Marc Bernal,es ESP,MF,18-201,1.1,92,2,24,57,12,0,92,2,1,50.0,0,0.0,53,233,82,1,1,0,1,2,71,2,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,54,0,1,29,24,2,54,5,4,80.0,0,0.0,29,62,18,0,1,0,1,2,43,6,Matches
Toni Fernández,es ESP,FW,17-151,0.5,11,0,0,4,8,2,11,0,0,,0,,6,17,4,0,1,0,1,0,10,2,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,74,0,7,47,20,1,74,1,0,0.0,1,100.0,51,208,112,1,4,0,1,0,57,3,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,51,2,12,20,19,3,51,1,0,0.0,1,100.0,33,103,40,0,0,0,1,1,36,11,Matches
Squad Total,,,25.3,16.0,12618,889,3084,5956,3685,544,12613,396,182,46.0,177,44.7,7429,39323,20058,384,284,148,223,139,9385,810,
Opponent Total,,,28.0,16.0,7245,1202,2986,2777,1549,283,7241,242,97,40.1,123,50.8,3309,17048,8150,176,105,77,202,146,4019,393,
