Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Pedri,es ESP,MF,21,37,2879,78,84.2,32.0,35,81,15,2,21,0,2.30,77,30,+47,+1.47,-1.19,70.8,34.6,+36.2,+1.13,-1.09,Matches
Raphinha,br BRA,"FW,MF",27,36,2839,79,83.0,31.5,32,84,23,4,35,1,2.28,85,31,+54,+1.71,+0.32,75.3,36.1,+39.2,+1.24,-0.36,Matches
Robert Lewandowski,pl POL,FW,35,34,2667,78,78.0,29.6,32,82,15,2,27,2,2.24,73,27,+46,+1.55,-0.48,63.4,31.2,+32.2,+1.09,-0.98,Matches
Lamine Yamal,es ESP,FW,17,35,2856,82,83.5,31.7,31,87,20,4,41,0,2.49,92,28,+64,+2.02,+2.18,80.6,31.3,+49.3,+1.55,+1.51,Matches
Pau Cubarsí,es ESP,DF,17,35,2618,75,76.5,29.1,29,84,20,6,30,3,2.26,81,32,+49,+1.68,+0.11,66.7,32.5,+34.2,+1.18,-0.55,Matches
Jules Koundé,fr FRA,DF,25,32,2605,81,76.2,28.9,29,88,25,3,21,1,2.28,77,30,+47,+1.62,-0.14,68.6,31.3,+37.3,+1.29,-0.07,Matches
Iñigo Martínez,es ESP,DF,33,28,2490,89,72.8,27.7,28,89,25,0,,6,2.32,75,31,+44,+1.59,-0.25,70.2,32.8,+37.4,+1.35,+0.18,Matches
Alejandro Balde,es ESP,DF,20,32,2284,71,66.8,25.4,26,81,13,6,30,3,2.25,66,22,+44,+1.73,+0.23,61.5,26.3,+35.2,+1.39,+0.25,Matches
Marc Casado,es ESP,MF,20,23,1611,70,47.1,17.9,20,78,10,3,19,7,2.22,49,14,+35,+1.96,+0.56,43.9,19.2,+24.7,+1.38,+0.14,Matches
Iñaki Peña,es ESP,GK,25,16,1396,87,40.8,15.5,15,90,15,1,46,22,1.69,36,18,+18,+1.16,-0.84,38.4,20.3,+18.1,+1.16,-0.24,Matches
Wojciech Szczęsny,pl POL,GK,34,15,1350,90,39.5,15.0,15,90,15,0,,14,2.87,43,12,+31,+2.07,+0.68,34.8,13.6,+21.2,+1.42,+0.19,Matches
Eric García,es ESP,"DF,MF",23,29,1566,54,45.8,17.4,14,85,9,15,25,3,2.52,53,16,+37,+2.13,+0.86,45.9,18.2,+27.8,+1.60,+0.54,Matches
Gavi,es ESP,"MF,FW",19,26,1085,42,31.7,12.1,14,69,4,12,10,3,2.12,26,12,+14,+1.16,-0.73,29.1,10.9,+18.1,+1.50,+0.29,Matches
Dani Olmo,es ESP,"MF,FW",26,25,1212,48,35.4,13.5,13,66,0,12,30,2,2.28,40,10,+30,+2.23,+0.88,36.5,16.4,+20.1,+1.49,+0.29,Matches
Fermin López,es ESP,"MF,FW",21,28,1252,45,36.6,13.9,12,69,4,16,27,3,2.32,31,15,+16,+1.15,-0.80,30.2,14.4,+15.8,+1.14,-0.26,Matches
Ferrán Torres,es ESP,"FW,MF",24,27,1106,41,32.3,12.3,12,64,2,15,22,2,2.33,35,21,+14,+1.14,-0.77,30.9,15.6,+15.2,+1.24,-0.09,Matches
Gerard Martín,es ESP,DF,22,28,1038,37,30.4,11.5,11,70,4,17,16,10,2.54,37,15,+22,+1.91,+0.36,27.8,13.9,+13.9,+1.21,-0.14,Matches
Ronald Araújo,uy URU,DF,25,12,754,63,22.0,8.4,11,68,5,1,5,7,2.69,22,8,+14,+1.67,+0.02,17.6,5.9,+11.7,+1.40,+0.13,Matches
Frenkie de Jong,nl NED,MF,27,26,1143,44,33.4,12.7,9,72,3,17,29,3,2.35,42,18,+24,+1.89,+0.35,34.3,17.2,+17.1,+1.35,+0.07,Matches
Marc-André ter Stegen,de GER,GK,32,8,674,84,19.7,7.5,8,84,7,0,,3,2.63,23,9,+14,+1.87,+0.26,18.3,8.0,+10.2,+1.37,+0.08,Matches
Héctor Fort,es ESP,DF,17,17,585,34,17.1,6.5,5,75,1,12,18,19,2.24,17,9,+8,+1.23,-0.52,16.6,8.1,+8.5,+1.31,+0.01,Matches
Pablo Torre,es ESP,"MF,FW",21,10,310,31,9.1,3.4,4,56,0,6,15,26,2.20,9,4,+5,+1.45,-0.23,7.0,5.0,+2.0,+0.57,-0.80,Matches
Marc Bernal,es ESP,MF,17,3,242,81,7.1,2.7,3,81,1,0,,0,3.00,6,3,+3,+1.12,-0.58,6.0,2.3,+3.7,+1.39,+0.10,Matches
Ansu Fati,es ESP,FW,21,6,233,39,6.8,2.6,3,60,0,3,17,17,2.50,4,1,+3,+1.16,-0.54,6.8,1.5,+5.3,+2.05,+0.80,Matches
Pau Victor,es ESP,FW,22,21,319,15,9.3,3.5,2,60,0,19,11,17,2.10,14,7,+7,+1.97,+0.35,13.5,5.2,+8.3,+2.32,+1.13,Matches
Andreas Christensen,dk DEN,DF,28,5,254,51,7.4,2.8,2,83,1,3,29,7,3.00,4,2,+2,+0.71,-1.03,5.5,3.6,+2.0,+0.70,-0.65,Matches
Sergi Dominguez,es ESP,DF,19,3,172,57,5.0,1.9,2,71,0,1,30,16,2.00,8,4,+4,+2.09,+0.46,4.3,4.3,0.0,+0.01,-1.36,Matches
Daniel Rodriguez,es ESP,FW,18,1,37,37,1.1,0.4,1,37,0,0,,0,3.00,0,1,-1,-2.43,-4.14,0.6,0.3,+0.3,+0.68,-0.63,Matches
Ander Astralaga,es ESP,GK,20,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Álvaro Cortés,es ESP,DF,19,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Andres Cuenca,es ESP,DF,17,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Noah Darvich,de GER,MF,17,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Landry Farré,es ESP,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Guillermo Fernandez,es ESP,MF,16,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Toni Fernández,es ESP,MF,16,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Diego Kochen,us USA,GK,18,0,,,,,0,,0,0,,17,,,,,,,,,,,,Matches
Alexis Olmedo,es ESP,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Álex Valle,es ESP,DF,20,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Áron Yaakobishvili,hu HUN,GK,18,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Squad Total,,,24.7,38,3420,90,100,38.0,418,80,237,180,22,254,2.32,102,39,+63,+1.66,,91.5,41.9,+49.5,+1.30,,
Opponent Total,,,26.8,38,3420,90,100,38.0,418,80,238,180,22,246,0.58,39,102,-63,-1.66,,41.9,91.5,-49.5,-1.30,,
