Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,35,17,19,8,8,18,26,69.2,8,20,4,16,17,52,30,0,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,17,13,8,8,1,6,12,50.0,6,7,4,3,9,26,45,0,Matches
Pedri,es ESP,MF,23-018,11.2,23,13,5,11,7,11,27,40.7,16,26,1,25,8,31,11,0,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,24,11,6,14,4,6,17,35.3,11,13,6,7,12,36,32,2,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,18,12,7,6,5,6,11,54.5,5,7,0,7,3,21,2,0,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,4,4,1,2,1,2,4,50.0,2,7,1,6,3,7,3,0,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,18,11,9,8,1,10,13,76.9,3,12,6,6,5,23,15,0,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,6,6,2,4,0,3,6,50.0,3,6,1,5,1,7,9,0,Matches
Joan García,es ESP,GK,24-223,10.0,2,2,2,0,0,2,2,100.0,0,0,0,0,1,3,14,1,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,27,11,10,12,5,16,21,76.2,5,2,2,0,13,40,6,0,Matches
Gerard Martín,es ESP,DF,23-346,8.1,21,14,12,8,1,14,17,82.4,3,10,1,9,9,30,37,0,Matches
Dani Olmo,es ESP,MF,27-220,9.3,19,13,7,7,5,7,11,63.6,4,7,0,7,5,24,6,1,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,10,5,5,5,0,4,4,100.0,0,7,4,3,8,18,27,0,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,3,1,0,2,1,0,5,0.0,5,4,0,4,1,4,5,0,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,6,1,2,3,1,2,6,33.3,4,4,0,4,0,6,6,0,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,14,9,1,9,4,7,16,43.8,9,4,0,4,2,16,2,1,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Marc Casado,es ESP,MF,22-090,5.9,8,1,2,3,3,3,9,33.3,6,12,2,10,5,13,5,0,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,4,2,2,2,0,2,4,50.0,2,6,3,3,2,6,19,0,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,2,1,1,0,1,2,2,100.0,0,1,0,1,0,2,2,1,Matches
Marc Bernal,es ESP,MF,18-201,1.1,3,3,1,2,0,0,2,0.0,2,1,0,1,0,3,3,0,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,1,0,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Toni Fernández,es ESP,FW,17-151,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,2,1,2,0,0,1,3,33.3,2,0,0,0,0,2,1,0,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches
Squad Total,,,25.3,16.0,269,153,105,115,49,123,220,55.9,97,157,35,122,104,373,288,6,
Opponent Total,,,28.0,16.0,316,172,187,96,33,177,359,49.3,182,223,84,139,134,450,367,20,
