Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
Alavés,23,27.9,49.2,15,165,1350,15.0,12,5,17,8,4,4,36,1,15.9,12.9,9.7,22.7,196,468,0.8,0.33,1.13,0.53,0.87,1.06,0.65,1.71,0.86,1.51
Athletic Club,25,27.9,48.1,16,176,1440,16.0,14,7,21,11,3,3,30,4,21.1,18.7,14.4,33.1,252,664,0.87,0.44,1.31,0.69,1.13,1.32,0.9,2.22,1.17,2.07
Atlético Madrid,23,28.1,54.2,16,176,1440,16.0,25,16,41,23,2,3,30,2,27.2,25.1,21.0,46.1,316,712,1.56,1.0,2.56,1.44,2.44,1.7,1.31,3.01,1.57,2.88
Barcelona,25,25.3,66.1,16,176,1440,16.0,46,35,81,43,3,5,27,2,36.4,32.6,26.4,59.0,384,812,2.87,2.19,5.06,2.69,4.87,2.28,1.65,3.92,2.04,3.68
Betis,26,28.0,50.4,15,165,1350,15.0,24,19,43,23,1,1,33,1,22.2,21.4,17.9,39.4,282,616,1.6,1.27,2.87,1.53,2.8,1.48,1.2,2.68,1.43,2.63
Celta Vigo,25,26.6,51.0,15,165,1350,15.0,18,13,31,16,2,2,29,1,18.1,16.6,13.8,30.4,262,640,1.2,0.87,2.07,1.07,1.93,1.21,0.92,2.13,1.1,2.03
Elche,27,27.1,58.6,15,165,1350,15.0,18,13,31,18,0,1,27,2,17.1,16.3,12.6,28.9,259,570,1.2,0.87,2.07,1.2,2.07,1.14,0.84,1.98,1.09,1.93
Espanyol,22,27.8,41.5,15,165,1350,15.0,19,14,33,16,3,4,30,2,23.4,20.2,16.7,36.9,251,499,1.27,0.93,2.2,1.07,2.0,1.56,1.12,2.67,1.35,2.46
Getafe,24,28.9,40.7,15,165,1350,15.0,13,12,25,13,0,0,38,3,10.5,10.5,7.1,17.6,130,366,0.87,0.8,1.67,0.87,1.67,0.7,0.47,1.17,0.7,1.17
Girona,29,27.7,46.9,15,165,1350,15.0,13,8,21,10,3,3,34,5,16.1,13.9,11.5,25.4,278,519,0.87,0.53,1.4,0.67,1.2,1.07,0.77,1.84,0.92,1.69
Levante,25,27.1,41.8,15,165,1350,15.0,16,8,24,15,1,2,32,1,19.2,17.8,12.1,29.9,152,390,1.07,0.53,1.6,1.0,1.53,1.28,0.81,2.09,1.19,2.0
Mallorca,25,28.3,44.9,15,165,1350,15.0,15,11,26,13,2,2,31,3,14.5,12.9,10.2,23.1,179,469,1.0,0.73,1.73,0.87,1.6,0.97,0.68,1.65,0.86,1.54
Osasuna,21,28.5,46.3,15,165,1350,15.0,14,11,25,12,2,3,34,3,16.4,14.0,10.9,24.9,193,449,0.93,0.73,1.67,0.8,1.53,1.09,0.73,1.82,0.93,1.66
Oviedo,27,29.0,44.8,15,165,1350,15.0,7,3,10,6,1,2,33,6,12.6,11.0,7.7,18.8,215,436,0.47,0.2,0.67,0.4,0.6,0.84,0.52,1.35,0.74,1.25
Rayo Vallecano,24,29.4,53.9,15,165,1350,15.0,13,10,23,12,1,2,39,3,20.4,18.8,14.4,33.3,254,553,0.87,0.67,1.53,0.8,1.47,1.36,0.96,2.32,1.25,2.22
Real Madrid,23,25.8,59.4,16,176,1440,16.0,32,25,57,27,5,7,30,4,37.8,32.3,27.3,59.6,397,892,2.0,1.56,3.56,1.69,3.25,2.36,1.71,4.07,2.02,3.73
Real Sociedad,27,26.5,51.9,15,165,1350,15.0,19,12,31,16,3,3,35,0,20.3,18.0,15.1,33.1,254,591,1.27,0.8,2.07,1.07,1.87,1.35,1.01,2.36,1.2,2.21
Sevilla,31,27.7,54.0,15,165,1350,15.0,17,14,31,15,2,2,50,1,13.6,12.3,10.7,23.0,254,489,1.13,0.93,2.07,1.0,1.93,0.91,0.71,1.62,0.82,1.53
Valencia,21,26.9,47.2,15,165,1350,15.0,14,12,26,14,0,1,28,1,15.7,14.9,11.2,26.2,227,527,0.93,0.8,1.73,0.93,1.73,1.05,0.75,1.8,1.0,1.74
Villarreal,26,26.6,47.2,15,165,1350,15.0,31,21,52,30,1,1,37,1,24.9,24.1,18.7,42.8,318,591,2.07,1.4,3.47,2.0,3.4,1.66,1.24,2.9,1.61,2.85
