Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
vs Alavés,23,15.0,294,19.6,196,37,22,19,16,4,25,1.67,18,0,2,4,1,0
vs Athletic Club,25,16.0,272,17.0,205,18,23,21,2,3,34,2.12,23,1,6,4,0,0
vs Atlético Madrid,23,16.0,297,18.56,215,27,22,14,18,1,27,1.69,19,2,2,2,2,0
vs Barcelona,25,16.0,262,16.37,187,28,11,18,11,7,34,2.12,23,2,2,5,2,0
vs Betis,26,15.0,302,20.13,228,23,20,17,7,7,29,1.93,18,1,5,4,0,1
vs Celta Vigo,25,15.0,327,21.8,240,37,10,22,10,8,32,2.13,18,6,1,6,1,0
vs Elche,27,15.0,323,21.53,243,30,19,12,14,5,28,1.87,20,0,3,3,1,1
vs Espanyol,22,15.0,334,22.27,244,29,21,23,11,6,27,1.8,20,1,1,1,3,1
vs Getafe,24,15.0,280,18.67,209,35,8,6,19,3,25,1.67,21,2,0,1,1,0
vs Girona,29,15.0,440,29.33,327,33,22,27,20,11,46,3.07,29,3,3,4,5,2
vs Levante,25,15.0,467,31.13,362,35,26,27,10,7,48,3.2,37,4,3,1,2,1
vs Mallorca,25,15.0,390,26.0,305,29,19,20,11,6,37,2.47,29,1,1,3,3,0
vs Osasuna,21,15.0,329,21.93,266,19,20,11,11,2,31,2.07,23,1,3,1,3,0
vs Oviedo,27,15.0,429,28.6,323,29,20,36,14,7,36,2.4,18,5,3,6,3,1
vs Rayo Vallecano,24,15.0,303,20.2,217,28,25,12,16,5,27,1.8,15,2,3,3,3,1
vs Real Madrid,23,16.0,291,18.19,222,26,10,16,12,5,27,1.69,19,2,1,3,2,0
vs Real Sociedad,27,15.0,318,21.2,224,31,26,19,15,3,37,2.47,26,3,3,2,2,1
vs Sevilla,31,15.0,289,19.27,192,31,25,21,15,5,42,2.8,28,2,6,0,5,1
vs Valencia,21,15.0,347,23.13,262,32,13,22,15,3,39,2.6,29,3,2,4,1,0
vs Villarreal,26,15.0,320,21.33,231,23,18,16,23,9,22,1.47,17,0,3,0,2,0
