Unnamed: 0_level_0,Unnamed: 1_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
vs Alavés,1,15,15,1350,15.0,13,0.87,51,39,82.4,7,3,5,6,40.0,4,4,0,0,0.0
vs Athletic Club,1,16,16,1440,16.0,15,0.94,63,49,81.0,7,2,7,7,43.8,3,3,0,0,0.0
vs Atlético Madrid,2,16,16,1440,16.0,28,1.75,90,64,71.1,3,4,9,1,6.3,3,2,1,0,33.3
vs Barcelona,2,16,16,1440,16.0,47,2.94,120,74,63.3,2,1,13,0,0.0,5,3,0,2,0.0
vs Betis,2,15,15,1350,15.0,25,1.67,70,46,65.7,3,6,6,1,6.7,1,1,0,0,0.0
vs Celta Vigo,1,15,15,1350,15.0,18,1.2,58,40,72.4,4,7,4,2,13.3,2,2,0,0,0.0
vs Elche,2,15,15,1350,15.0,18,1.2,62,43,71.0,4,7,4,3,20.0,1,0,1,0,100.0
vs Espanyol,1,15,15,1350,15.0,19,1.27,65,45,75.4,4,3,8,3,20.0,4,3,1,0,25.0
vs Getafe,1,15,15,1350,15.0,13,0.87,38,25,65.8,7,2,6,6,40.0,0,0,0,0,
vs Girona,2,15,15,1350,15.0,13,0.87,56,43,82.1,7,6,2,5,33.3,3,3,0,0,0.0
vs Levante,2,15,15,1350,15.0,16,1.07,50,34,70.0,10,3,2,5,33.3,2,1,0,1,0.0
vs Mallorca,2,15,15,1350,15.0,15,1.0,54,39,75.9,7,5,3,4,26.7,2,2,0,0,0.0
vs Osasuna,1,15,15,1350,15.0,14,0.93,51,37,76.5,8,3,4,6,40.0,3,2,0,1,0.0
vs Oviedo,1,15,15,1350,15.0,7,0.47,41,33,85.4,9,4,2,11,73.3,2,1,1,0,50.0
vs Rayo Vallecano,1,15,15,1348,15.0,13,0.87,59,45,79.7,6,5,4,7,46.7,2,1,1,0,50.0
vs Real Madrid,1,16,16,1440,16.0,32,2.0,114,80,76.3,2,3,11,2,12.5,7,5,2,0,28.6
vs Real Sociedad,1,15,15,1350,15.0,19,1.27,70,51,77.1,7,4,4,3,20.0,3,3,0,0,0.0
vs Sevilla,2,15,15,1350,15.0,20,1.33,46,29,60.9,8,2,5,2,13.3,2,2,0,0,0.0
vs Valencia,1,15,15,1350,15.0,14,0.93,43,28,67.4,6,6,3,5,33.3,1,0,1,0,100.0
vs Villarreal,2,15,15,1350,15.0,31,2.07,75,44,60.0,2,2,11,1,6.7,1,1,0,0,0.0
