Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Alavés,23,15.0,6944,6167,740,224,15,30,284,293,79,20,37,0,5420,37,136
Athletic Club,25,16.0,7308,6484,805,257,17,46,351,338,86,32,30,1,5695,19,138
Atlético Madrid,23,16.0,8928,8116,777,176,31,56,342,319,114,35,51,0,7412,35,150
Barcelona,25,16.0,10743,9958,750,260,42,29,208,278,104,55,6,0,9436,35,149
Betis,26,15.0,7748,6998,725,249,23,57,251,259,74,32,25,0,6400,25,143
Celta Vigo,25,15.0,8220,7491,701,202,44,50,199,282,65,18,30,0,6932,28,139
Elche,27,15.0,8566,7854,686,257,10,49,232,243,47,6,7,0,7304,26,100
Espanyol,22,15.0,5997,5294,684,182,15,31,345,307,65,25,32,2,4627,19,104
Getafe,24,15.0,5109,4245,829,254,10,43,297,370,72,27,32,1,3434,35,123
Girona,29,15.0,6847,6100,719,217,20,30,210,253,60,24,26,0,5612,28,124
Levante,25,15.0,5827,5104,693,190,28,33,198,268,47,21,11,0,4441,30,119
Mallorca,25,15.0,6276,5555,702,211,5,37,266,284,52,27,20,1,4864,19,126
Osasuna,21,15.0,6545,5830,704,198,13,43,274,298,46,15,25,0,5053,11,114
Oviedo,27,15.0,6538,5840,665,176,14,55,241,275,58,33,18,0,5300,33,107
Rayo Vallecano,24,15.0,7367,6624,717,162,20,49,323,309,92,39,34,2,5973,26,160
Real Madrid,23,16.0,9999,9249,721,214,40,100,260,268,101,37,32,0,8759,29,123
Real Sociedad,27,15.0,7331,6568,730,187,27,47,297,292,97,53,14,0,5841,33,146
Sevilla,31,15.0,7021,6261,716,224,10,67,234,292,77,37,25,0,5552,44,135
Valencia,21,15.0,6732,5998,713,208,17,51,267,279,73,20,44,0,5340,21,109
Villarreal,26,15.0,7134,6464,636,171,35,40,213,268,67,45,8,0,5899,34,102
