Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,40,2.94,34,2,0,1,0,3,4,0.29,3,1,0,0,0,0,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,16,1.38,14,0,1,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Pedri,es ESP,MF,23-018,11.2,73,6.52,68,0,1,3,1,0,9,0.8,9,0,0,0,0,0,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,26,2.18,24,1,0,0,1,0,2,0.17,2,0,0,0,0,0,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,67,6.1,40,1,12,7,4,3,11,1.0,7,0,2,1,1,0,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,29,2.8,22,0,2,2,1,2,4,0.39,2,0,0,1,0,1,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,32,3.36,27,0,2,0,3,0,6,0.63,6,0,0,0,0,0,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,66,6.17,35,17,5,6,3,0,10,0.93,4,3,1,2,0,0,Matches
Joan García,es ESP,GK,24-223,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,34,3.61,33,1,0,0,0,0,3,0.32,3,0,0,0,0,0,Matches
Gerard Martín,es ESP,DF,23-346,8.1,20,2.46,19,0,1,0,0,0,3,0.37,3,0,0,0,0,0,Matches
Dani Olmo,es ESP,MF,27-220,9.3,40,4.32,33,2,0,3,2,0,6,0.65,6,0,0,0,0,0,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,6,0.83,6,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,15,2.1,10,0,1,3,1,0,1,0.14,0,0,1,0,0,0,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,32,5.51,22,5,1,3,1,0,8,1.38,6,1,1,0,0,0,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,31,4.89,19,0,5,6,0,1,7,1.1,6,0,0,1,0,0,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,2,0.33,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Marc Casado,es ESP,MF,22-090,5.9,19,3.2,18,0,0,1,0,0,3,0.51,3,0,0,0,0,0,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,2,0.48,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,18,6.64,11,2,5,0,0,0,4,1.48,3,0,1,0,0,0,Matches
Marc Bernal,es ESP,MF,18-201,1.1,2,1.76,2,0,0,0,0,0,1,0.88,1,0,0,0,0,0,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,5,4.84,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Toni Fernández,es ESP,FW,17-151,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,3,4.03,3,0,0,0,0,0,1,1.34,1,0,0,0,0,0,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,2,3.6,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,25.3,16.0,580,36.25,451,31,36,36,17,9,84,5.25,66,5,6,5,1,1,
Opponent Total,,,28.0,16.0,262,16.37,187,28,11,18,11,7,34,2.12,23,2,2,5,2,0,
