Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,0,0,0,16,10,0,7,17,17,0,1,0,45,19,13,59.4,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,1,0,0,9,3,0,0,9,13,0,0,0,41,24,9,72.7,Matches
Pedri,es ESP,MF,23-018,11.2,2,1,1,5,16,0,5,8,13,0,0,0,78,5,2,71.4,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,3,0,0,12,18,0,16,12,11,0,1,0,35,22,12,64.7,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,0,0,0,10,23,8,29,3,12,1,0,0,55,0,4,0.0,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,2,0,0,6,9,5,1,3,4,0,0,0,23,10,13,43.5,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,2,0,0,7,14,3,13,5,11,1,1,0,35,7,7,50.0,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,2,0,0,4,12,9,57,1,6,0,0,0,23,3,2,60.0,Matches
Joan García,es ESP,GK,24-223,10.0,1,0,0,0,1,0,0,1,2,0,0,0,31,2,0,100.0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,3,1,1,7,19,1,3,13,11,0,0,0,41,4,5,44.4,Matches
Gerard Martín,es ESP,DF,23-346,8.1,3,0,0,3,7,0,8,9,14,0,0,0,28,17,6,73.9,Matches
Dani Olmo,es ESP,MF,27-220,9.3,0,0,0,10,20,0,10,5,13,1,0,0,37,10,5,66.7,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,2,0,0,14,1,0,2,8,5,0,1,0,29,23,16,59.0,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,1,0,0,8,9,6,0,1,1,0,0,0,12,6,7,46.2,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,2,0,0,3,4,0,22,0,1,0,0,0,17,1,2,33.3,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,1,0,0,12,5,2,10,2,9,0,0,0,26,6,4,60.0,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,,Matches
Marc Casado,es ESP,MF,22-090,5.9,0,0,0,16,9,0,1,5,1,0,0,0,23,3,2,60.0,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,1,0,0,4,4,0,0,2,2,0,0,0,20,12,4,75.0,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,0,0,0,1,1,0,20,0,1,0,0,0,8,0,1,0.0,Matches
Marc Bernal,es ESP,MF,18-201,1.1,1,0,0,3,1,0,0,0,3,0,0,0,2,3,3,50.0,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,1,66.7,Matches
Toni Fernández,es ESP,FW,17-151,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,0,0,0,2,1,0,1,0,1,0,0,0,5,1,1,50.0,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,0,0,0,0,0,0,3,0,2,0,0,0,3,1,3,25.0,Matches
Squad Total,,,25.3,16.0,27,2,2,153,188,35,208,104,153,3,4,0,638,181,122,59.7,
Opponent Total,,,28.0,16.0,45,4,1,195,149,80,201,134,172,2,5,1,605,122,181,40.3,
