Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Eric García,es ESP,"DF,MF",24-338,16,1223.0,76.0,84.9,13.6,14,83.0,9,2,29.0,0,2.5,41.0,15.0,26.0,1.91,1.5,32.1,16.1,16.0,1.18,1.57,Matches
Pau Cubarsí,es ESP,DF,18-325,12,1043.0,87.0,72.4,11.6,12,87.0,9,0,,4,2.5,36.0,17.0,19.0,1.64,-0.17,27.4,17.4,10.1,0.87,-0.27,Matches
Pedri,es ESP,MF,23-018,13,1010.0,78.0,70.1,11.2,12,82.0,4,1,31.0,0,2.38,31.0,14.0,17.0,1.51,-0.58,25.5,15.3,10.2,0.91,-0.11,Matches
Jules Koundé,fr FRA,DF,27-031,15,1073.0,72.0,74.5,11.9,11,90.0,11,4,21.0,1,2.47,35.0,14.0,21.0,1.76,0.29,26.9,16.8,10.0,0.84,-0.4,Matches
Lamine Yamal,es ESP,FW,18-153,12,989.0,82.0,68.7,11.0,11,87.0,7,1,33.0,0,2.58,31.0,14.0,17.0,1.55,-0.45,24.4,16.0,8.4,0.76,-0.57,Matches
Ferrán Torres,es ESP,FW,25-287,15,930.0,62.0,64.6,10.3,11,78.0,4,4,18.0,0,2.47,31.0,12.0,19.0,1.84,0.43,21.8,14.7,7.1,0.68,-0.74,Matches
Alejandro Balde,es ESP,DF,22-056,12,856.0,71.0,59.4,9.5,11,74.0,2,1,45.0,0,2.33,26.0,14.0,12.0,1.26,-1.05,21.0,13.7,7.2,0.76,-0.45,Matches
Marcus Rashford,eng ENG,FW,28-043,15,964.0,64.0,66.9,10.7,10,80.0,4,5,33.0,0,2.47,29.0,18.0,11.0,1.03,-2.0,21.9,16.3,5.7,0.53,-1.25,Matches
Joan García,es ESP,GK,24-223,10,900.0,90.0,62.5,10.0,10,90.0,10,0,,0,2.8,34.0,9.0,25.0,2.5,2.17,24.2,11.0,13.2,1.32,1.01,Matches
Frenkie de Jong,nl NED,MF,28-215,11,848.0,77.0,58.9,9.4,9,86.0,6,2,37.0,0,2.27,22.0,12.0,10.0,1.06,-1.52,19.6,14.0,5.6,0.59,-0.85,Matches
Gerard Martín,es ESP,DF,23-346,14,732.0,52.0,50.8,8.1,9,76.0,3,5,10.0,0,2.43,28.0,7.0,21.0,2.58,1.82,19.1,8.6,10.6,1.3,0.73,Matches
Dani Olmo,es ESP,MF,27-220,13,834.0,64.0,57.9,9.3,8,81.0,4,5,37.0,0,2.62,27.0,9.0,18.0,1.94,0.61,22.9,10.0,12.9,1.39,1.07,Matches
Ronald Araújo,uy URU,DF,26-281,11,649.0,59.0,45.1,7.2,7,81.0,5,4,20.0,2,2.45,21.0,9.0,12.0,1.66,-0.04,15.5,8.3,7.2,1.0,0.1,Matches
Robert Lewandowski,pl POL,FW,37-114,12,642.0,54.0,44.6,7.1,7,78.0,4,5,19.0,1,2.58,22.0,9.0,13.0,1.82,0.24,17.8,8.4,9.4,1.31,0.67,Matches
Raphinha,br BRA,"FW,MF",28-364,9,523.0,58.0,36.3,5.8,7,67.0,1,2,28.0,1,2.78,19.0,5.0,14.0,2.41,1.13,16.0,5.4,10.6,1.83,1.39,Matches
Fermin López,es ESP,"MF,FW",22-216,10,571.0,57.0,39.7,6.3,6,74.0,3,4,32.0,1,2.5,21.0,8.0,13.0,2.05,0.6,14.2,8.7,5.5,0.87,-0.13,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6,540.0,90.0,37.5,6.0,6,90.0,6,0,,8,2.0,13.0,11.0,2.0,0.33,-2.17,12.2,10.4,1.9,0.31,-1.01,Matches
Marc Casado,es ESP,MF,22-090,11,534.0,49.0,37.1,5.9,6,74.0,3,5,19.0,5,2.73,16.0,6.0,10.0,1.69,0.0,12.2,6.6,5.6,0.95,0.01,Matches
Andreas Christensen,dk DEN,DF,29-247,11,377.0,34.0,26.2,4.2,3,90.0,3,8,13.0,3,2.55,11.0,6.0,5.0,1.19,-0.67,9.8,6.3,3.6,0.85,-0.12,Matches
Roony Bardghji,se SWE,FW,20-028,8,244.0,31.0,16.9,2.7,3,56.0,0,5,15.0,5,2.25,8.0,4.0,4.0,1.48,-0.26,6.7,2.4,4.3,1.57,0.76,Matches
Marc Bernal,es ESP,MF,18-201,6,102.0,17.0,7.1,1.1,1,45.0,0,5,11.0,7,3.0,4.0,3.0,1.0,0.88,-0.87,2.9,3.3,-0.3,-0.29,-1.32,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,4,92.0,23.0,6.4,1.0,1,45.0,0,3,16.0,10,3.0,3.0,1.0,2.0,1.96,0.29,2.0,1.2,0.8,0.79,-0.17,Matches
Toni Fernández,es ESP,FW,17-151,1,45.0,45.0,3.1,0.5,1,45.0,0,0,,9,3.0,1.0,1.0,0.0,0.0,-1.74,0.5,1.4,-0.9,-1.82,-2.85,Matches
Gavi,es ESP,"MF,DF",21-130,2,67.0,34.0,4.7,0.7,0,,0,2,34.0,0,3.0,4.0,0.0,4.0,5.37,3.87,1.8,0.7,1.1,1.45,0.53,Matches
