Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 22_level_0
Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Eric García,es ESP,"DF,MF",24-338,13.6,1,11,4,36.4,0.81,0.29,0.09,0.25,12.4,0,0,0,1.6,1.6,0.15,-0.6,-0.6,Matches
Pau Cubarsí,es ESP,DF,18-325,11.6,0,4,0,0.0,0.35,0.0,0.0,,18.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Pedri,es ESP,MF,23-018,11.2,2,12,6,50.0,1.07,0.53,0.17,0.33,20.1,0,0,0,0.9,0.9,0.08,1.1,1.1,Matches
Jules Koundé,fr FRA,DF,27-031,11.9,1,5,2,40.0,0.42,0.17,0.2,0.5,9.6,0,0,0,0.5,0.5,0.1,0.5,0.5,Matches
Lamine Yamal,es ESP,FW,18-153,11.0,6,50,13,26.0,4.55,1.18,0.08,0.31,19.9,1,2,2,4.4,2.8,0.06,1.6,1.2,Matches
Ferrán Torres,es ESP,FW,25-287,10.3,11,37,22,59.5,3.58,2.13,0.3,0.5,14.4,1,0,0,7.6,7.6,0.21,3.4,3.4,Matches
Alejandro Balde,es ESP,DF,22-056,9.5,0,5,1,20.0,0.53,0.11,0.0,0.0,18.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Marcus Rashford,eng ENG,FW,28-043,10.7,2,46,16,34.8,4.29,1.49,0.04,0.13,19.0,5,0,0,3.4,3.4,0.07,-1.4,-1.4,Matches
Joan García,es ESP,GK,24-223,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Frenkie de Jong,nl NED,MF,28-215,9.4,0,3,1,33.3,0.32,0.11,0.0,0.0,18.6,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Gerard Martín,es ESP,DF,23-346,8.1,0,1,0,0.0,0.12,0.0,0.0,,27.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Dani Olmo,es ESP,MF,27-220,9.3,4,32,9,28.1,3.45,0.97,0.13,0.44,20.2,3,0,0,3.3,3.3,0.1,0.7,0.7,Matches
Ronald Araújo,uy URU,DF,26-281,7.2,2,6,4,66.7,0.83,0.55,0.33,0.5,19.4,0,0,0,0.4,0.4,0.06,1.6,1.6,Matches
Robert Lewandowski,pl POL,FW,37-114,7.1,8,28,14,50.0,3.93,1.96,0.25,0.5,14.1,0,1,3,7.4,5.0,0.19,0.6,2.0,Matches
Raphinha,br BRA,"FW,MF",28-364,5.8,4,24,6,25.0,4.13,1.03,0.17,0.67,17.5,1,0,0,3.5,3.5,0.15,0.5,0.5,Matches
Fermin López,es ESP,"MF,FW",22-216,6.3,4,24,11,45.8,3.78,1.73,0.17,0.36,18.5,0,0,0,2.1,2.1,0.09,1.9,1.9,Matches
Wojciech Szczęsny,pl POL,GK,35-239,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Marc Casado,es ESP,MF,22-090,5.9,0,7,0,0.0,1.18,0.0,0.0,,22.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Andreas Christensen,dk DEN,DF,29-247,4.2,0,2,0,0.0,0.48,0.0,0.0,,12.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Roony Bardghji,se SWE,FW,20-028,2.7,1,12,8,66.7,4.43,2.95,0.08,0.13,18.9,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Marc Bernal,es ESP,MF,18-201,1.1,0,1,0,0.0,0.88,0.0,0.0,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Pedro Fernandez,es ESP,"FW,MF",17-335,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Toni Fernández,es ESP,FW,17-151,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gavi,es ESP,"MF,DF",21-130,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Jofre Torrents,es ESP,DF,18-319,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,25.3,16.0,46,310,117,37.7,19.37,7.31,0.14,0.37,17.9,11,3,5,36.4,32.6,0.11,9.6,10.4,
Opponent Total,,,28.0,16.0,20,146,52,35.6,9.12,3.25,0.12,0.33,15.7,2,3,4,21.3,18.4,0.13,-1.3,-1.4,
